direction_id,direction,mode,pair,foreground,foreground_oklch,background,background_oklch,contrast_ratio,requirement,result,note
A1,Quiet Instrument,Light,Primary text on surface,#18201D,"oklch(0.234 0.013 170.4)",#F7F5F0,"oklch(0.970 0.007 88.6)",15.26,"WCAG 2.2 AA normal text: 4.5:1",Pass,"Source sRGB pair; recheck rendered platform variants"
A1,Quiet Instrument,Light,Secondary text on surface,#4D5B55,"oklch(0.457 0.020 167.7)",#F7F5F0,"oklch(0.970 0.007 88.6)",6.55,"WCAG 2.2 AA normal text: 4.5:1",Pass,"Source sRGB pair; recheck rendered platform variants"
A1,Quiet Instrument,Light,Action or focus on surface,#0B6F62,"oklch(0.487 0.085 180.7)",#F7F5F0,"oklch(0.970 0.007 88.6)",5.56,"WCAG 2.2 non-text contrast: 3:1",Pass,"Applies to meaningful control boundaries and focus graphics"
A1,Quiet Instrument,Light,On-action text on action,#FFFFFF,"oklch(1.000 0.000 89.9)",#0B6F62,"oklch(0.487 0.085 180.7)",6.06,"WCAG 2.2 AA normal text: 4.5:1",Pass,"Source sRGB pair; recheck rendered platform variants"
A1,Quiet Instrument,Dark,Primary text on surface,#F2F5F3,"oklch(0.967 0.004 157.2)",#111715,"oklch(0.198 0.010 173.0)",16.53,"WCAG 2.2 AA normal text: 4.5:1",Pass,"Source sRGB pair; recheck rendered platform variants"
A1,Quiet Instrument,Dark,Secondary text on surface,#B7C1BC,"oklch(0.802 0.013 164.7)",#111715,"oklch(0.198 0.010 173.0)",9.82,"WCAG 2.2 AA normal text: 4.5:1",Pass,"Source sRGB pair; recheck rendered platform variants"
A1,Quiet Instrument,Dark,Action or focus on surface,#66D0BE,"oklch(0.790 0.102 181.0)",#111715,"oklch(0.198 0.010 173.0)",9.79,"WCAG 2.2 non-text contrast: 3:1",Pass,"Applies to meaningful control boundaries and focus graphics"
A1,Quiet Instrument,Dark,On-action text on action,#062E29,"oklch(0.273 0.044 182.9)",#66D0BE,"oklch(0.790 0.102 181.0)",7.92,"WCAG 2.2 AA normal text: 4.5:1",Pass,"Source sRGB pair; recheck rendered platform variants"
A2,Thread & Trace,Light,Primary text on surface,#211A33,"oklch(0.239 0.047 295.5)",#F8F6FF,"oklch(0.977 0.012 296.4)",15.57,"WCAG 2.2 AA normal text: 4.5:1",Pass,"Source sRGB pair; recheck rendered platform variants"
A2,Thread & Trace,Light,Secondary text on surface,#5B526B,"oklch(0.457 0.042 301.2)",#F8F6FF,"oklch(0.977 0.012 296.4)",6.85,"WCAG 2.2 AA normal text: 4.5:1",Pass,"Source sRGB pair; recheck rendered platform variants"
A2,Thread & Trace,Light,Action or focus on surface,#5A3FC0,"oklch(0.476 0.191 286.3)",#F8F6FF,"oklch(0.977 0.012 296.4)",6.75,"WCAG 2.2 non-text contrast: 3:1",Pass,"Connector never carries meaning without text and shape"
A2,Thread & Trace,Light,On-action text on action,#FFFFFF,"oklch(1.000 0.000 89.9)",#5A3FC0,"oklch(0.476 0.191 286.3)",7.22,"WCAG 2.2 AA normal text: 4.5:1",Pass,"Source sRGB pair; recheck rendered platform variants"
A2,Thread & Trace,Dark,Primary text on surface,#F6F2FF,"oklch(0.968 0.018 300.1)",#151221,"oklch(0.194 0.030 292.5)",16.72,"WCAG 2.2 AA normal text: 4.5:1",Pass,"Source sRGB pair; recheck rendered platform variants"
A2,Thread & Trace,Dark,Secondary text on surface,#BDB4CD,"oklch(0.785 0.036 301.9)",#151221,"oklch(0.194 0.030 292.5)",9.27,"WCAG 2.2 AA normal text: 4.5:1",Pass,"Source sRGB pair; recheck rendered platform variants"
A2,Thread & Trace,Dark,Action or focus on surface,#B9A6FF,"oklch(0.775 0.126 293.0)",#151221,"oklch(0.194 0.030 292.5)",8.74,"WCAG 2.2 non-text contrast: 3:1",Pass,"Connector never carries meaning without text and shape"
A2,Thread & Trace,Dark,On-action text on action,#1B123D,"oklch(0.223 0.079 287.9)",#B9A6FF,"oklch(0.775 0.126 293.0)",8.30,"WCAG 2.2 AA normal text: 4.5:1",Pass,"Source sRGB pair; recheck rendered platform variants"
A3,Tactile Relay,Light,Primary text on surface,#2A2118,"oklch(0.255 0.021 66.6)",#FFF8EE,"oklch(0.982 0.015 77.1)",14.98,"WCAG 2.2 AA normal text: 4.5:1",Pass,"Source sRGB pair; recheck rendered platform variants"
A3,Tactile Relay,Light,Secondary text on surface,#635446,"oklch(0.457 0.030 65.0)",#FFF8EE,"oklch(0.982 0.015 77.1)",6.90,"WCAG 2.2 AA normal text: 4.5:1",Pass,"Source sRGB pair; recheck rendered platform variants"
A3,Tactile Relay,Light,Action or focus on surface,#9A4313,"oklch(0.491 0.130 44.9)",#FFF8EE,"oklch(0.982 0.015 77.1)",6.25,"WCAG 2.2 non-text contrast: 3:1",Pass,"Tile state also uses position edge style and text label"
A3,Tactile Relay,Light,On-action text on action,#FFFFFF,"oklch(1.000 0.000 89.9)",#9A4313,"oklch(0.491 0.130 44.9)",6.59,"WCAG 2.2 AA normal text: 4.5:1",Pass,"Source sRGB pair; recheck rendered platform variants"
A3,Tactile Relay,Dark,Primary text on surface,#FFF4E8,"oklch(0.973 0.020 70.0)",#1B1611,"oklch(0.204 0.013 67.0)",16.55,"WCAG 2.2 AA normal text: 4.5:1",Pass,"Source sRGB pair; recheck rendered platform variants"
A3,Tactile Relay,Dark,Secondary text on surface,#CBBBAA,"oklch(0.801 0.030 69.1)",#1B1611,"oklch(0.204 0.013 67.0)",9.60,"WCAG 2.2 AA normal text: 4.5:1",Pass,"Source sRGB pair; recheck rendered platform variants"
A3,Tactile Relay,Dark,Action or focus on surface,#FFB37B,"oklch(0.827 0.114 56.8)",#1B1611,"oklch(0.204 0.013 67.0)",10.25,"WCAG 2.2 non-text contrast: 3:1",Pass,"Tile state also uses position edge style and text label"
A3,Tactile Relay,Dark,On-action text on action,#321A0B,"oklch(0.247 0.046 51.2)",#FFB37B,"oklch(0.827 0.114 56.8)",9.30,"WCAG 2.2 AA normal text: 4.5:1",Pass,"Source sRGB pair; recheck rendered platform variants"
