id,territory,segment_problem_statement,pain_strength,segment_focus,evidence_quality,reachability,willingness_to_pay,differentiation,native_platform_advantage,buildability,operational_lightness,ethical_store_safety,natural_award_fit,base_score,user_value_score,solo_builder_score,commercial_score,platform_score,cap_rule,confidence
T2-S1,T2 capture-to-artifact,"Independent property inspectors lose field and evening time associating hundreds of photos, locations, and defect notes with defensible client reports; full suites can make onsite work slower and require costly template setup.",5,5,4,4,5,4,5,3,3,3,4,83.4,84.2,79.2,85.2,85.2,none,high
T2-S2,T2 capture-to-artifact,"Solo client-service professionals receive decisions and scope changes through rambling calls, chat, and voice messages, then manually reconstruct a confirmable record before work can safely continue.",4,4,4,5,4,3,3,4,4,3,4,77.4,78.0,78.4,79.2,75.0,none,medium-high
T2-S3,T2 capture-to-artifact,"Research-intensive students and qualitative researchers lose time finding and reconciling claims across PDFs, photos, handwritten scraps, and notes while preserving citation provenance.",4,4,3,5,2,3,3,3,3,4,3,67.6,69.8,67.4,68.4,66.6,none,medium-low
T3-S1,T3 recipient-side group utility,"Dual-income households need shared ownership of anticipating, choosing, executing, and monitoring household work without making the already overloaded partner administer another app.",5,4,5,5,2,3,3,4,4,4,3,79.2,82.8,80.2,78.8,76.0,none,high
T3-S2,T3 recipient-side group utility,"Distributed family caregivers need role-appropriate updates, tasks, schedules, and documents without repeating information or exposing sensitive details to every invited helper.",5,5,4,3,4,3,3,3,2,1,5,71.4,73.6,68.0,73.2,71.0,none,medium-high
T3-S3,T3 recipient-side group utility,"Volunteer club and youth-sports organizers need attendance, schedule changes, payments, and reminders to reach members without losing decisions in a noisy group chat.",4,5,3,4,2,2,3,4,3,4,4,68.2,70.6,69.8,67.2,67.8,none,medium
T4-S1,T4 adaptive field workflow,"Small field inspection and asset teams working through dead zones need trustworthy offline capture, visible sync state, conflict-safe recovery, and usable photo-heavy reports without enterprise deployment overhead.",5,5,5,3,5,3,5,2,2,3,5,78.6,81.0,71.6,80.6,81.8,none,high
T4-S2,T4 adaptive field workflow,"Environmental and academic field teams need offline map, form, photo, and sensor capture that moves cleanly from field devices to review without enterprise GIS administration or data loss.",4,5,4,3,3,3,5,2,2,3,5,69.2,70.8,64.0,69.2,74.2,none,medium
T4-S3,T4 adaptive field workflow,"Construction foremen and specialty subcontractors need plans, measurements, tasks, and progress evidence across phone and tablet without field downtime, platform disparities, or an expensive multi-system rollout.",5,5,5,2,5,1,5,2,1,3,4,70.6,74.4,63.6,72.0,74.0,none,medium-high
T5-S1,T5 respectful return loop,"Adults with ADHD or time blindness need help choosing and restarting the next useful action after distraction or a missed plan without novelty collapse, rigid minute-by-minute scheduling, or shame-based streak loss.",5,5,4,5,3,3,4,4,4,3,4,81.6,83.4,81.8,81.8,81.0,none,high
T5-S2,T5 respectful return loop,"Adults managing chronic illness and variable daily capacity need to plan against today's energy, preserve history when capacity changes, and recover from incomplete days without treating rest as failure.",5,5,4,4,2,4,4,4,3,2,5,77.8,79.4,76.8,76.6,79.0,none,medium-high
T5-S3,T5 respectful return loop,"Long-horizon learners returning after interruption need progress tied to meaningful competence rather than maintaining a streak through low-value activity, while avoiding a full content-production dependency.",4,4,5,5,3,2,3,2,1,4,3,67.2,71.8,62.6,70.6,66.2,none,medium-high
