source_id,url_or_path,page_title,published_or_observed_date,source_tier,timing,claim_status,material_claim,run_12_use,confidence,limitation
R12-001,https://revenuecat-shipaton-2026.devpost.com/rules,RevenueCat Shipaton 2026 Official Rules,Observed 2026-08-11,A,current official,observed,"Defines eligibility deadline stores working demo RevenueCat requirement submission assets judging order Galaxy weighting and judge access","Controls hard eligibility rubric map submission milestones and conditional-go gates",high,"Living rules can change and must be rechecked before submission"
R12-002,https://www.shipaton.com/blog/how-we-judge-shipaton,How we judge Shipaton,Published 2026-06-26,A,current official,described,"Intake checks store and submission completeness; screeners must watch the first two video minutes; final judges need not install","Makes the first 1:58 and visible proof central",high,"Organizer says the process is subject to change"
R12-003,https://www.shipaton.com/categories/revenuecat-design-award,RevenueCat Design Award,Observed 2026-08-11,A,current official,observed,"Emphasizes innovative ideas aesthetics interface interaction and animation with exact evidence locations","Defines primary D1 and D2 proof",high,"Rules control where wording differs"
R12-004,https://www.shipaton.com/categories/best-app-for-galaxy,Best App for Galaxy,Observed 2026-08-11,A,current official,observed,"Requires a Galaxy Store app and thoughtful Samsung-specific and store optimization","Keeps Galaxy conditional on the same loop and real proof",high,"Remaining 80 percent standard criteria are not decomposed"
R12-005,https://www.shipaton.com/categories/keep-them-coming-back-award,Keep Them Coming Back Award,Observed 2026-08-11,A,current official,observed,"Requires live app working OneSignal integration and deployed campaign; one thoughtful push can qualify","Defines conditional reminder proof",high,"User value still requires app-owned evidence"
R12-006,../Run-3/report.md,Run 3 cross-year pattern synthesis,Current local artifact,B,historical synthesis,observed and inferred,"Tests coherent loop fast value differentiating mechanism information restraint judge observability monetization and trust against winners and controls","Keeps product and submission choices tied to tested historical patterns",medium-high,"Historical patterns do not predict a 2026 win"
R12-007,../Run-4/report.md,Run 4 audience and problem landscape,Current local artifact,B,current research synthesis,observed described and inferred,"Records current user language workarounds competitor gaps reachability and opportunity trade-offs","Supports target segment pain and workaround framing",medium,"No prevalence or Restart Thread adoption result"
R12-008,../Run-6/report.md,Run 6 concept red team and proof plan,Current local artifact,A,selected research decision,observed and inferred,"C13 and C14 share one user moment and outcome; generic start tools are crowded; context restoration survives; C15 is deferred; explicit kill rules are set","Controls product thesis differentiation scope and behavioral kill criterion",medium-high,"Real breadcrumb compliance and willingness to pay remain unknown"
R12-009,../Run-7/voice-ai-revision.md,Run 7 voice and AI revision,Current local artifact,A,selected specification,observed,"Defines local-save-first Instant Voice Thread grounded AI evidence human confirmation text Share and deterministic alternatives","Controls the must-ship core loop",high,"No device or user validation exists"
R12-010,../Run-7/ux-blueprint.md,Run 7 UX blueprint,Current local artifact,A,selected specification,observed,"Defines journey information architecture 31 surfaces state recovery and critical interactions","Supplies the screen inventory and journey",high,"Some locked-surface states remain hypotheses"
R12-011,../Run-7/usability-test-plan.md,Run 7 usability test plan,Current local artifact,A,selected specification,observed,"Defines five-participant tasks formative thresholds and behavioral pilot","Supplies falsification rules",high,"No study result exists"
R12-012,../Run-8/report.md,Run 8 visual system report,Current local artifact,A,selected specification,observed,"Locks H2 Forward Thread and I2-V1 Direct Trace-back with visual motion haptic sound accessibility and platform rules","Controls design handoff and D2 proof",high,"No production render or device test exists"
R12-013,../Run-9/report.md,Run 9 monetization retention and growth report,Current local artifact,A,approved specification,observed and inferred,"Locks M1 A1 A2 R1 R2 R3 R4 and G1-G3; prices and seven-draft allowance remain hypotheses","Controls monetization metrics and experiment boundaries",high for decision; low for market result,"No pricing conversion retention or revenue data exists"
R12-014,../Run-9/event-taxonomy.csv,Run 9 event taxonomy,Current local artifact,A,approved specification,observed,"Defines product events properties forbidden content hypotheses and decisions","Controls instrumentation and dashboard scope",high,"No production event baseline exists"
R12-015,../Run-10/report.md,Run 10 platform architecture and scope report,Current local artifact,A,approved specification,observed and inferred,"Approves native Kotlin Compose Android API 36 Play plus conditional Galaxy and device-owned thin-backend architecture","Controls implementation architecture",high for decision; medium-high for feasibility,"Integration and store behavior remain untested"
R12-016,../Run-10/vertical-slice-backlog.csv,Run 10 vertical slice backlog,Current local artifact,A,approved specification,observed,"Traces must ship evidence enhancing post-submission and cut items to user value rules or award proof","Controls launch scope and automatic cuts",high,"Dates depend on solo execution and external review"
R12-017,../Run-10/critical-path.md,Run 10 dated critical path,Current local artifact,A,approved specification,observed,"Sets account spikes early release learning freeze store and submission owner dates","Controls milestones",high,"Targets do not guarantee store turnaround"
R12-018,../Run-10/risk-register.csv,Run 10 risk register,Current local artifact,A,approved specification,observed and inferred,"Records probability impact detection mitigation fallback and owner for technical store privacy billing and schedule risks","Supplies the final top-ten risk synthesis",high for inventory,"Probabilities are analyst estimates until implementation"
R12-019,../Run-11/validation-plan.md,Run 11 validation plan,Current local artifact,A,approved specification,observed,"Connects technical formative pilot release and production proof with pass pivot and stop rules","Controls validation sequence",high,"No result exists"
R12-020,../Run-11/judge-evidence-matrix.csv,Run 11 judge evidence matrix,Current local artifact,A,approved specification,observed and inferred,"Maps every selected-award criterion to product behavior observable evidence demo Devpost screenshot and remaining gap","Supplies exact rubric-to-product map",high for coverage; low to medium for unbuilt proof,"All working-build evidence remains pending"
R12-021,../Run-11/demo-storyboard.md,Run 11 1:58 demo storyboard,Current local artifact,A,approved specification,observed,"Defines the working-device proof order and conditional replacement segment","Controls final demo outline",high,"Final footage and measured claims do not exist"
R12-022,../Run-11/submission-checklist.md,Run 11 submission production checklist,Current local artifact,A,approved specification,observed,"Enumerates store URL package RevenueCat access video icon screenshots metadata policies reviewer notes clearance and US availability","Controls asset handoff",high,"Living form fields must be rechecked"
R12-023,https://developer.android.com/develop/background-work/services/fgs/restrictions-bg-start,Restrictions on starting a foreground service from the background,Observed 2026-08-11,A,current official,observed,"Widget interaction can permit a background start while Android 14 and later separately check microphone while-in-use permission","Keeps no-unlock voice conditional on a physical spike",high,"General Android rules do not resolve OEM keyguard behavior"
R12-024,https://developer.android.com/develop/adaptive-apps/guides/get-started-with-adaptive-apps,Get started with adaptive apps,Observed 2026-08-11,A,current official,observed,"Android recommends window-size-class responsive behavior rather than device assumptions","Supports one Compose adaptive layout",high,"Specific two-pane value remains untested"
R12-025,https://developer.android.com/develop/ui/compose/accessibility/testing,Testing accessibility in Jetpack Compose,Observed 2026-08-11,A,current official,observed,"Manual assistive-technology testing and automated accessibility checks are complementary","Controls accessibility proof",high,"Automation cannot replace TalkBack and input-mode use"
R12-026,https://www.revenuecat.com/docs/getting-started/entitlements,RevenueCat Entitlements,Observed 2026-08-11,A,current official,observed,"One entitlement can be unlocked by several store products","Supports one pro access model across stores",high,"Store lifecycle needs physical testing"
R12-027,https://www.revenuecat.com/docs/offerings/overview,RevenueCat Offerings Overview,Observed 2026-08-11,A,current official,observed,"Offerings group equivalent products and permit remote presentation changes","Supports default Offering with monthly and annual packages",high,"Store products must still be active"
R12-028,https://www.revenuecat.com/docs/dashboard-and-metrics/customer-profile,RevenueCat Customer Profile and granted entitlements,Observed 2026-08-11,A,current official,observed,"Granted entitlements can provide fixed-time premium access without purchase","Supports proposed judge access",high,"Does not prove organizer acceptance as a promo code"
R12-029,https://supabase.com/docs/guides/functions/limits,Supabase Edge Function Limits,Observed 2026-08-11,A,historical option superseded after Run 12,observed,"Hosted function resource and time limits required bounded requests and a local fallback","Preserves provenance for the original decision; Cloudflare now replaces this path",high,"Not the selected implementation"
R12-030,https://platform.openai.com/docs/guides/your-data,Data controls in the OpenAI platform,Observed 2026-08-11,A,historical proposed provider superseded after Run 12,observed,"API data is not used for training by default but abuse-monitoring logs may contain content and have stated retention","Preserves provenance for the original proposal; Workers AI is now proposed",high,"Not the selected implementation provider"
R12-031,https://documentation.onesignal.com/docs/en/analytics-overview,OneSignal Analytics overview,Observed 2026-08-11,A,current official,observed,"OneSignal delivery engagement and conversion reporting cannot independently prove the app's private verified-Start outcome","Keeps sponsor diagnostics separate from user value",high,"Conversion features and retention windows can change"
R12-032,https://developer.samsung.com/remote-test-lab,Remote Test Lab,Observed 2026-08-11,A,current official,observed,"Samsung provides remote access to real Galaxy devices including foldables","Supports broader adaptive QA",high,"Does not replace every physical billing locked-state latency or sensory test"
R12-033,https://developers.cloudflare.com/workers/platform/limits/,Workers platform limits,Observed 2026-08-12,A,current official,observed,"Workers Free documents 100000 requests per day 10 ms CPU per invocation 128 MB memory and a 100 MB request body limit","Supports a thin text API and makes cloud audio a CPU spike",high,"Real request CPU and latency remain unmeasured"
R12-034,https://developers.cloudflare.com/d1/platform/pricing/,D1 pricing,Observed 2026-08-12,A,current official,observed,"D1 Free documents 5 million rows read and 100000 rows written per day plus 5 GB total storage with hard failure after allowance exhaustion","Supports content-free operational metadata with local fallback",high,"Usage and schema efficiency remain unmeasured"
R12-035,https://developers.cloudflare.com/d1/platform/limits/,D1 limits,Observed 2026-08-12,A,current official,observed,"D1 Free documents 10 databases 500 MB per database and 50 queries per Worker invocation","Supports separate small development and production metadata databases",high,"Provider limits can change"
R12-036,https://developers.cloudflare.com/workers-ai/platform/pricing/,Workers AI pricing,Observed 2026-08-12,A,current official,observed,"Workers AI Free includes 10000 Neurons per day and resets at midnight UTC","Supports a bounded validation path but not a demand or margin claim",high,"Real model consumption and quality remain unmeasured"
