source_id,url_or_path,page_title,published_or_observed_date,source_tier,timing,claim_status,source_type,material_claim,architecture_use,confidence,fallback_or_limitation
R10-001,https://revenuecat-shipaton-2026.devpost.com/rules,RevenueCat Shipaton 2026 Official Rules,Observed 2026-08-11,A,current,observed,official rules,"Eligible apps must be fully published by the deadline; first public release must occur in the window; app must use RevenueCat for a purchase or Ads and function as depicted.","Makes a live store build RevenueCat lifecycle and demo parity hard scope.",high,"Exa fetched full text; rules can change and must be rechecked before submission."
R10-002,https://revenuecat-shipaton-2026.devpost.com/,RevenueCat Shipaton 2026 Overview and Prizes,Observed 2026-08-11,A,current,observed,official organizer page,"RevenueCat Design rewards app-development craft; Best App for Galaxy requires Galaxy Store publication and thoughtful Galaxy optimization.","Keep Design primary and Galaxy conditional on real store and device proof.",high,"Overview language is subordinate to official rules where they conflict."
R10-003,https://www.shipaton.com/blog/how-we-judge-shipaton,How we judge Shipaton,Published 2026-06-26,A,current,described,official judging guide,"Intake checks store URL package ID required fields video icon and screenshots; screeners must watch the first two video minutes.","Treat submission assets and judge-observable proof as must ship.",high,"Process is described as subject to change."
R10-004,../Run-7/voice-ai-revision.md,Run 7 Voice and AI Revision,Current local artifact,A,selected specification,observed,prior accepted research,"Instant Voice Thread saves locally before AI preserves text Share and deterministic reset and requires human confirmation before Start.","Sets the non-negotiable data order and fallback.",high,"User and device validation is still pending."
R10-005,../Run-8/report.md,Run 8 Visual System Report,Current local artifact,A,selected specification,observed,prior accepted research,"H2 Forward Thread and I2-V1 Direct Trace-back Connector are locked for later runs.","Trace-back evidence accessibility and visual-state proof enter the vertical slice.",high,"Visual hypotheses remain unvalidated."
R10-006,../Run-9/report.md,Run 9 Monetization Retention and Growth Report,Current local artifact,A,selected specification,observed,prior accepted research,"M1 A1 A2 R1 R2 R3 R4 and G1-G3 define the approved monetization and metric system.","Carries one pro entitlement free boundary event taxonomy and conditional OneSignal path into architecture.",high,"Price allowance conversion and retention are hypotheses."
R10-007,https://www.revenuecat.com/docs/getting-started/installation/android,RevenueCat Android Installation,Observed 2026-08-11,A,current,observed,official documentation,"The page shows Android SDK 10.15.1; Galaxy support begins at 10.7.0 through purchases-store-galaxy and GalaxyConfiguration; physical Galaxy hardware is required for test purchases; other hybrid SDK support is coming.","Select native Android and make Galaxy a physical purchase gate.",high,"Exa full fetch and Firecrawl forced-live query agreed; versions can change."
R10-008,https://www.revenuecat.com/docs/getting-started/installation/reactnative,RevenueCat React Native Installation,Observed 2026-08-11,A,current,observed,official documentation,"React Native Galaxy support is available from SDK 10.3.0 with a separate Galaxy package and physical test device.","Treat React Native as plausible but not lower-touch for native product surfaces.",high,"Does not measure bridge reliability for this product."
R10-009,https://www.revenuecat.com/docs/getting-started/installation/capacitor,RevenueCat Capacitor Installation,Observed 2026-08-11,A,current,observed,official documentation,"The page documents Capacitor setup for Google Play and App Store but contains no Galaxy section.","Do not depend on a Capacitor Galaxy billing path.",high,"Absence can change; current Android page explicitly says other hybrid support is coming."
R10-010,https://www.revenuecat.com/docs/getting-started/installation/kotlin-multiplatform,RevenueCat Kotlin Multiplatform Installation,Observed 2026-08-11,A,current,observed,official documentation,"The wrapper documents Google Play and iOS App Store common-source integration and generated native iOS bindings but not Galaxy.","Defer KMP until an Apple client has product evidence.",high,"No claim that Galaxy can never be added with platform-specific code."
R10-011,https://www.revenuecat.com/docs/customers/identifying-customers,Identifying Customers,Observed 2026-08-11,A,current,observed,official documentation,"RevenueCat can create cached anonymous IDs when no custom app user ID is supplied; anonymous identity is not cross-platform account continuity.","Use no-account first value and defer account merging.",high,"Uninstall and cross-device behavior must be disclosed."
R10-012,https://www.revenuecat.com/docs/getting-started/restoring-purchases,Restoring Purchases,Observed 2026-08-11,A,current,observed,official documentation,"Restore purchases should be user initiated because the operating system may prompt; anonymous consumed one-time purchases have Billing Client 8 limitations.","Expose explicit restore and avoid consumables in M1.",high,"Store sandbox behavior still needs tests."
R10-013,https://www.revenuecat.com/docs/platform-resources/galaxy-platform-resources/galaxy-setup-guide,RevenueCat Galaxy Store Setup,Observed 2026-08-11,A,current,observed,official documentation,"RevenueCat Galaxy validation requires a Seller Portal service account private key and Galaxy app record.","Make external account and secret setup an early dependency.",high,"No builder setup exists yet."
R10-014,https://www.revenuecat.com/docs/getting-started/entitlements,RevenueCat Entitlements,Observed 2026-08-11,A,current,observed,official documentation,"Most apps need one entitlement and several products can unlock it for their active duration.","Use one pro access decision across stores.",high,"Implementation still needs lifecycle tests."
R10-015,https://www.revenuecat.com/docs/offerings/overview,RevenueCat Offerings Overview,Observed 2026-08-11,A,current,observed,official documentation,"Offerings group equivalent products into packages and permit remote presentation changes.","Map Play and Galaxy monthly and annual products to the default Offering.",high,"Remote configuration does not replace store product activation."
R10-016,https://developer.android.com/develop/adaptive-apps/guides/get-started-with-adaptive-apps,Get started with adaptive apps,Observed 2026-08-11,A,current,observed,official platform documentation,"Android recommends window size classes and Compose Material 3 Adaptive; apps should respond to window rather than device assumptions.","Use compact medium and expanded UI without a second layout runtime.",high,"User value of a particular two-pane layout must still be tested."
R10-017,https://developer.android.com/develop/adaptive-apps/guides/foldables/make-your-app-fold-aware,Make your app fold aware,Observed 2026-08-11,A,current,observed,official platform documentation,"Jetpack WindowManager exposes fold state and hinge bounds.","Avoid placing controls on the hinge and preserve state across posture changes.",high,"Physical device behavior remains untested."
R10-018,https://developer.android.com/develop/adaptive-apps/guides/support-multi-window-mode,Support multi-window mode,Observed 2026-08-11,A,current,observed,official platform documentation,"Multi-window is standard from Android 12 and Android 16 overrides some fixed orientation aspect and resizability restrictions on large screens.","Make window resizing a must-test state transition.",high,"OEM desktop-window behavior varies."
R10-019,https://developer.android.com/develop/ui/views/appwidgets,Create a simple widget,Observed 2026-08-11,A,current,observed,official platform documentation,"App widgets are hosted by another app such as the home screen and have constrained RemoteViews or Glance behavior.","Promise a home widget only after implementation; do not assume universal lock-screen hosting.",high,"Host availability and locked placement are OEM-dependent."
R10-020,https://developer.android.com/develop/background-work/services/fgs/restrictions-bg-start,Restrictions on starting a foreground service from the background,Observed 2026-08-11,A,current,observed,official platform documentation,"Widget interaction can be a background-start exemption but Android 14+ separately checks while-in-use microphone permission and can throw SecurityException when unavailable.","Make locked microphone behavior a physical spike with unlock fallback.",high,"Exact keyguard and OEM behavior is not resolved by the general rule."
R10-021,https://developer.android.com/privacy-and-security/keystore,Android Keystore system,Published 2026-03-06,A,current,observed,official platform documentation,"Keystore keys can be non-exportable hardware-backed and restricted to authorized cryptographic uses.","Use a non-exportable device key for the local vault.",high,"Hardware backing varies; StrongBox is not necessary by default."
R10-022,https://developer.android.com/privacy-and-security/cryptography,Cryptography,Observed 2026-08-11,A,current,observed,official platform documentation,"Android recommends AES CBC or GCM with 256-bit keys and specifically lists AES/GCM/NoPadding.","Use authenticated AES-256-GCM for app-private content.",high,"Implementation misuse still requires tests and review."
R10-023,https://developer.android.com/privacy-and-security/risks/backup-best-practices,Security recommendations for backups,Observed 2026-08-11,A,current,observed,official platform documentation,"Android backup supports encryption and exclusion rules; custom exports increase leak risk if poorly implemented.","Exclude protected vault files and make export explicit through the system picker.",high,"Excluding content means reinstall is not a thread-recovery feature."
R10-024,https://developer.android.com/privacy-and-security/declare-data-use,Declare your app data use,Observed 2026-08-11,A,current,observed,official platform documentation,"Developers must declare app and third-party SDK collection; voice recordings are a named data category.","Create an SDK and data inventory before Play submission.",high,"The builder remains responsible for final declarations."
