"award_name","award_family","purpose","category_specific_eligibility_and_disqualifiers","required_platform_store_sdk_service_account_or_release","required_submission_evidence","ordered_judging_criteria","tie_break_implication","judge_observable_proof","unique_effort_or_dependency","influencer_coexistence","confidence","sources"
"Grand Prize","Cross-cutting","Honor the app with the strongest user traction and growth momentum during the event.","All global gates apply. RevenueCat-reported total revenue during the submission period determines the shortlist; the highest revenue does not automatically win.","Eligible iOS, iPadOS, macOS, or Android release; eligible store release; RevenueCat purchase integration or RevenueCat Ads.","Describe post-launch growth work and dated results such as downloads, revenue, active users, conversion, retention, waitlist growth, MRR/ARR, social reach, or community engagement.","1 Early and Effective Release | 2 Growth by numbers","A tie goes first to the stronger Early and Effective Release score, then Growth by numbers. Revenue shortlisting occurs before scored judging.","A live early release, experiment chronology, acquisition and retention actions, concrete results, lessons, and next steps.","Launch early enough to generate RevenueCat revenue and run attributable product, pricing, retention, and acquisition experiments.","Yes; an eligible project may also enter one Influencer Award.","High","Supplied 2026 rules §§4 and 6 | https://revenuecat-shipaton-2026.devpost.com/rules | https://www.shipaton.com/categories/grand-prize"
"#BuildInPublic Award","Cross-cutting","Reward the most compelling public build journey and the product learning created by public response.","All global gates apply. Publish during the submission period; submit links to visible posts. Use #Shipaton and #BuildInPublic. The rules contain two conflicting start times; use August 1, 2026 at 8:30 a.m. PT as the conservative start.","Eligible live app except the rules' Next Gen exemption if another category is also entered; public social or community accounts and posts.","Links to accounts and specific posts; explain how public building helped through motivation, feedback, ideas, or product changes.","1 Sharing your story | 2 Engagement | 3 Lessons Learned","A tie goes first to Sharing your story, then Engagement, then Lessons Learned. Audience size is explicitly irrelevant.","A dated artifact-to-response-to-decision-to-change-to-lesson chain, not merely posting frequency.","Sustained public documentation, feedback capture, consent-safe sharing, and a change log that connects feedback to product decisions.","Yes; an eligible project may also enter one Influencer Award.","High","Supplied 2026 rules §§4 and 6 | https://revenuecat-shipaton-2026.devpost.com/rules | https://www.shipaton.com/categories/build-in-public-award"
"Best Game Award","Core","Recognize the best mobile game shipped during the event.","All global gates apply. The submission must be a game.","Eligible iOS, iPadOS, macOS, or Android store release; RevenueCat purchase integration or RevenueCat Ads.","Describe gameplay, art direction, and why monetization fits the genre; show real gameplay on device.","1 Fun and engagement | 2 Unique gameplay, progression, or replayability | 3 Monetization","A tie goes first to fun and engagement, then uniqueness/progression/replayability, then monetization.","Responsive controls, core loop, feedback, difficulty or progression, replay value, art direction, and an in-context purchase or ad experience.","Game feel, content balance, art/audio, performance, and genre-appropriate economy require more iteration than a utility demo.","Yes; an eligible project may also enter one Influencer Award.","High","Supplied 2026 rules §§4 and 6 | https://revenuecat-shipaton-2026.devpost.com/rules | https://www.shipaton.com/categories/best-game-award"
"RevenueCat Peace Prize","Core","Recognize the project with the strongest positive social impact.","All global gates apply.","Eligible iOS, iPadOS, macOS, or Android store release; RevenueCat purchase integration or RevenueCat Ads.","Explain the individuals, community, or society served and how the app was designed to create benefit; include early usefulness or adoption evidence when available.","1 Impact | 2 Feasibility","A tie goes first to Impact, then Feasibility.","A specific beneficiary, credible mechanism of benefit, safe workflow, realistic delivery, and either broad reach or deep value to a smaller group.","Domain expertise, safeguarding, accessibility, privacy, evidence quality, and careful claims are often central dependencies.","Yes; an eligible project may also enter one Influencer Award.","High","Supplied 2026 rules §§4 and 6 | https://revenuecat-shipaton-2026.devpost.com/rules | https://www.shipaton.com/categories/revenuecat-peace-prize"
"RevenueCat Design Award","Core","Celebrate product craft, innovative interaction, visual design, and animation apart from business viability.","All global gates apply.","Eligible iOS, iPadOS, macOS, or Android store release; RevenueCat purchase integration or RevenueCat Ads.","Describe unique design elements and point judges to specific screens, interactions, gestures, animations, or technical innovations; show them in motion.","1 Innovative ideas | 2 Aesthetics","A tie goes first to Innovative ideas, then Aesthetics.","A distinctive behavior or technical design, coherent hierarchy, delightful motion, smooth gestures, polished states, and accessible feedback.","High-fidelity interaction work, performance tuning, motion, haptics, accessibility, and a video that makes craft visible.","Yes; an eligible project may also enter one Influencer Award.","High","Supplied 2026 rules §§4 and 6 | https://revenuecat-shipaton-2026.devpost.com/rules | https://www.shipaton.com/categories/revenuecat-design-award"
"Catvertising Award","Core","Reward the most creative and effective use of RevenueCat Ads.","All global gates apply. RevenueCat Ads must be used as a monetization method.","Eligible app release plus a working RevenueCat Ads integration; other RevenueCat purchase methods may coexist.","Explain where ads appear, why the placement is natural or additive, and how ads fit subscriptions, purchases, trials, and the wider revenue stack; provide early performance or experience signals when available.","1 Natural, useful, or additive ad integration | 2 Fit with audience, use case, and broader revenue model","A tie goes first to integration quality, then strategic fit.","Ads that unlock, fund, or enrich value without breaking the core flow, plus a coherent relationship to paid options.","RevenueCat Ads availability and implementation, ad-supply policy, consent and privacy, placement testing, measurement, and brand-safety risk.","Yes; an eligible project may also enter one Influencer Award.","High","Supplied 2026 rules §§4 and 6 | https://revenuecat-shipaton-2026.devpost.com/rules | https://www.shipaton.com/categories/catvertising-award"
"Next Gen Award","Core","Recognize the best student-built app through a lower-friction, code-and-video path.","You must be an active student in high school, college, university, bootcamp, or another academic program and use a qualifying academic email. RevenueCat and sponsor employees remain limited to Conflict of Interest.","No paid Apple or Google developer account or store release is required. Submit a working project for an eligible platform, integrate RevenueCat purchases or Ads, and provide a public open-source repository with a visible license and all code, assets, and instructions.","Demo video; public repository; visible open-source license; text description; repository must be sufficient for the project to function. The rules exempt this category from store URL, free-trial or promo-code, and store testing requirements.","1 Idea clarity, usefulness, interest, or originality | 2 Meaningful progress and visible core functionality | 3 Thoughtful RevenueCat use | 4 Technical choices, product thinking, build and presentation care","A tie goes first to the idea score, then progress, RevenueCat use, and technical/product/presentation care.","A clear problem or experience, functioning core flow in the video, inspectable code, thoughtful monetization or ads, and sound implementation decisions.","Student and email verification, repository hygiene, licensing, setup documentation, and a demo that substitutes for store testing.","Yes; a student project may also enter one Influencer Award if otherwise eligible.","High","Supplied 2026 rules §§3, 4, and 6 | https://revenuecat-shipaton-2026.devpost.com/rules | https://www.shipaton.com/categories/next-gen-award"
"HAMM Award (Help Apps Make Money)","Core","Recognize the smartest use of RevenueCat to build a credible, differentiated, scalable business.","All global gates apply.","Eligible store release with RevenueCat powering a purchase; Ads may be part of a broader mix.","Describe how the app makes money, the paywall, pricing, packaging, conversion or revenue results, and why the model fits the product and market.","1 Clear, integrated, realistic, scalable revenue streams | 2 Creative or diverse monetization beyond a standard single model | 3 Revenue articulation, differentiation, competitive advantage, and long-term sustainability","A tie goes first to clarity and fit, then creativity, then financial viability and differentiation.","Free and paid value boundaries, pricing and packaging in the product, purchase flow, conversion or economics, and a credible link between value, cost, and revenue.","Pricing research, paywall implementation, entitlement states, restoration, experiments, analytics, and unit-economics evidence.","Yes; an eligible project may also enter one Influencer Award.","High","Supplied 2026 rules §§4 and 6 | https://revenuecat-shipaton-2026.devpost.com/rules | https://www.shipaton.com/categories/hamm-award"
"Conflict of Interest Award","Core","Recognize the best overall eligible app from RevenueCat or category-sponsor employees.","Only otherwise eligible RevenueCat or sponsor employees may compete. Those employees are eligible for this award only; ordinary entrants are ineligible.","Eligible platform and release requirements still apply unless an official clarification grants an exemption; RevenueCat purchase integration or RevenueCat Ads.","Global submission package and any category-specific explanation requested by the form.","1 App Concept | 2 Execution | 3 Monetization","A tie goes first to App Concept, then Execution, then Monetization.","A novel or fun concept, reliable polished execution, interesting UX or animation, and a strong or novel monetization strategy.","Employment verification and strict conflict-of-interest handling; no cash prize is listed.","No in practice; sponsor and RevenueCat employees are eligible only for this award.","High","Supplied 2026 rules §§3 and 6 | https://revenuecat-shipaton-2026.devpost.com/rules | https://www.shipaton.com/categories/conflict-of-interest-award"
"Productivity — Christopher Lawley Influencer Award","Influencer","Build a polished tool that lets Apple power users quickly save, organize, and retrieve reusable text, files, documents, and images.","All global gates apply. A project may enter only one Influencer Award. Do not use the influencer's identity, brand, voice, image, or likeness without written permission.","An Apple-platform app is functionally required by the prompt; release to an eligible Apple store. RevenueCat purchase integration or RevenueCat Ads.","State this Influencer category and explain how the app serves the named audience; show fast capture, organization, and retrieval across supported Apple contexts.","1 Product focus and speed | 2 Organization and intelligent features | 3 Design and polish","A tie goes first to focus and speed, then organization/intelligence, then polish.","Low-friction save and retrieval for snippets, images, files, and documents; useful intelligence; clear, polished Apple-native behavior.","Apple share extensions, file and document handling, search/indexing, sync, permissions, and power-user performance may dominate scope.","No second Influencer Award; yes to eligible non-Influencer awards.","High","Supplied 2026 rules §§4 and 6 | https://revenuecat-shipaton-2026.devpost.com/rules | https://www.shipaton.com/categories/christopher-lawley"
