source_id,url_or_path,page_title,published_or_observed_date,source_tier,timing,claim_status,source_type,material_claim,transferable_principle,confidence,fallback_or_limitation
R8-001,https://www.shipaton.com/categories/revenuecat-design-award,RevenueCat Design Award,Observed 2026-08-11,A,current official,observed,official category,"The category seeks innovative ideas, beautiful interface design, thoughtful interaction, and animation that improves use.","Make the core behavior and its craft observable in the submission.",high,"Exa discovery and full-text fetch. The private judge score is unknown."
R8-002,../Run-3/report.md,Run 3 cross-year pattern synthesis,Current local artifact,A,historical synthesis,measured,prior corpus analysis,"A visual or motion signature appears in winners and controls; nominal presence alone is not a winner differentiator.","Use an integrated evidence chain rather than isolated polish.",medium-high,"Analyst coding of public evidence; not causal judge data."
R8-003,../Run-2/project-dossiers/run-2-batch-02-design-and-native-craft.md,Run 2 design and native craft dossiers,Current local artifact,A,historical event analysis,observed and inferred,prior corpus analysis,"Flowmino, Dayloop, and PitchLab show different integrations of first value, interaction, feedback, and visual craft.","Design the experience as a coherent system rather than copying winner aesthetics.",medium-high,"Public event-period evidence is incomplete and does not reveal judge deliberation."
R8-004,https://developer.android.com/develop/ui/compose/designsystems/material3,Material Design 3 in Compose,Observed 2026-08-11,A,current official,observed,platform guidance,"Material 3 defines role-based color, typography, shape, tonal elevation, dynamic color, and adaptive accessibility foundations.","Map brand expression onto semantic platform roles.",high,"Exa discovery and full-text fetch. Implementation still depends on the selected stack."
R8-005,https://developer.android.com/design/ui/mobile/guides/styles/color,Android color for mobile design,Observed 2026-08-11,A,current official,observed,platform guidance,"Android recommends semantic color roles, consistent meanings, light and dark schemes, contrast, and non-color affordances.","Use role tokens and pair status color with language or shape.",high,"Exa discovery and full-text fetch."
R8-006,https://developer.android.com/design/ui/mobile/guides/foundations/accessibility,Accessibility for Android mobile,Observed 2026-08-11,A,current official,observed,platform guidance,"Android specifies scalable text, contrast, semantics, gesture alternatives, and at least 48 dp touch targets.","Preserve equivalent tap and accessibility actions for every gesture.",high,"Exa discovery and full-text fetch."
R8-007,https://developer.android.com/design/ui/mobile/guides/foundations/translate-designs,10 Steps to Android,Observed 2026-08-11,A,current official,observed,platform guidance,"Android and iOS share content-first foundations but use distinct controls, icon systems, and motion conventions.","Adapt one brand system without making either platform imitate the other.",high,"Exa discovery and full-text fetch."
R8-008,https://developer.android.com/develop/ui/views/haptics/haptics-principles,Principles of haptics design,Observed 2026-08-11,A,current official,observed,platform guidance,"Android haptics should be clear, consistent, restrained, and synchronized to a meaningful event.","Reserve short feedback for capture, durable save, and user confirmation.",high,"Exa discovery and full-text fetch."
R8-009,https://design.samsung.com/global/contents/one-ui/download/oneui_design_guide_eng.pdf,One UI Design Guide,Observed 2026-08-11,A,current official,observed,platform design guide,"One UI organizes viewing and interaction zones and requires adaptable layouts, safe margins, legibility, and focus blocks.","Keep critical capture controls reachable and preserve a readable evidence relationship across sizes.",high,"Exa full-text PDF extraction; no screenshot claim."
R8-010,https://developer.samsung.com/one-ui,One UI Design Guidelines,Observed 2026-08-11,A,current official,observed,platform guidance,"Samsung groups its design guidance around One UI principles, large screens, foldables, and system adaptation.","Treat Galaxy optimization as a platform-quality layer on the same recovery loop.",high,"Exa discovery and full-text fetch."
R8-011,https://developer.samsung.com/sdp/blog/en/2024/01/09/best-practices-of-app-development-for-various-screen-sizespowered-by-good-lock,Best Practices of App Development for Various Screen Sizes,2024-01-09,A,current official,observed,platform technical guidance,"Samsung documents cover-screen widgets, responsive layouts, Flex Mode, multi-window, and state preservation for varying window sizes.","Use two-pane evidence on large screens and keep the hinge clear; verify on a real or remote Galaxy device.",high,"Exa discovery and full-text fetch. Current device behavior still requires testing."
R8-012,https://developer.apple.com/design/human-interface-guidelines/color,Color - Human Interface Guidelines,Observed 2026-08-11,A,current official,observed,platform guidance,"Apple recommends adaptable system-aware color, sufficient contrast, and non-color communication.","Use semantic asset variants and preserve information without color.",high,"Exa discovery and full-text fetch."
R8-013,https://developer.apple.com/design/human-interface-guidelines/typography,Typography - Human Interface Guidelines,Observed 2026-08-11,A,current official,observed,platform guidance,"Apple typography guidance prioritizes legibility, hierarchy, Dynamic Type, and system text styles.","Start with system type and test large text and localization before adding a display face.",high,"Exa discovery and full-text fetch."
R8-014,https://developer.apple.com/design/human-interface-guidelines/motion,Motion - Human Interface Guidelines,Observed 2026-08-11,A,current official,observed,platform guidance,"Motion should communicate relationships and feedback while respecting reduced-motion preferences.","Animate state causality, keep transitions interruptible, and provide a no-motion alternative.",high,"Exa discovery and full-text fetch."
R8-015,https://developer.apple.com/design/human-interface-guidelines/feedback,Feedback - Human Interface Guidelines,Observed 2026-08-11,A,current official,observed,platform guidance,"Apple recommends immediate, understandable feedback for actions and status changes.","Separate capture, local-save, AI-work, ready, and confirmation feedback.",high,"Exa discovery and full-text fetch."
R8-016,https://developer.apple.com/design/human-interface-guidelines/playing-haptics,Playing haptics - Human Interface Guidelines,Observed 2026-08-11,A,current official,observed,platform guidance,"Apple haptics should support a clear cause and complement visual and audio feedback.","Use short causal cues and never continuous vibration during recording.",high,"Exa discovery and full-text fetch."
R8-017,https://developer.apple.com/design/human-interface-guidelines/playing-audio,Playing audio - Human Interface Guidelines,Observed 2026-08-11,A,current official,observed,platform guidance,"Audio behavior must respect context, user control, and system expectations.","Keep sound optional, quiet-mode aware, and silent during microphone capture.",high,"Exa discovery and full-text fetch."
R8-018,https://developer.apple.com/design/human-interface-guidelines/live-activities,Live Activities - Human Interface Guidelines,Observed 2026-08-11,A,current official,observed,platform guidance,"Live Activities are glanceable, bounded presentations with system-controlled contexts and privacy considerations.","Show only generic capture or readiness state on locked surfaces.",high,"Exa discovery and full-text fetch. Capability remains a Run 7 device-proof gate."
R8-019,https://support.apple.com/guide/iphone/make-a-recording-iph4d2a39a3b/ios,Make a recording in Voice Memos on iPhone,Observed 2026-08-11,C,current first-party product,observed,product support,"Voice Memos presents an obvious record control, visible recording state, and stop-to-save behavior.","Make capture state and durable completion unmistakable.",medium-high,"Exa discovery and full-text fetch. This is a reference, not permission to copy its interface."
R8-020,https://www.w3.org/WAI/WCAG22/Understanding/contrast-minimum.html,Understanding Success Criterion 1.4.3 Contrast Minimum,Observed 2026-08-11,A,current standard,observed,accessibility standard,"WCAG 2.2 requires at least 4.5:1 contrast for normal text except stated exceptions.","Calculate source text pairs and recheck every rendered variant.",high,"Exa discovery and full-text fetch."
R8-021,https://www.w3.org/WAI/WCAG22/Understanding/non-text-contrast.html,Understanding Success Criterion 1.4.11 Non-text Contrast,Observed 2026-08-11,A,current standard,observed,accessibility standard,"Meaningful control and state graphics require at least 3:1 contrast against adjacent colors.","Measure focus, boundaries, nodes, and state marks, not only text.",high,"Exa discovery and full-text fetch."
R8-022,https://www.w3.org/WAI/WCAG22/Understanding/use-of-color.html,Understanding Success Criterion 1.4.1 Use of Color,Observed 2026-08-11,A,current standard,observed,accessibility standard,"Color cannot be the only visual means of conveying information or action.","Add labels, shapes, icons, and accessible relationships to color-coded states.",high,"Exa discovery and full-text fetch."
R8-023,https://www.w3.org/WAI/WCAG22/Understanding/animation-from-interactions.html,Understanding Success Criterion 2.3.3 Animation from Interactions,Observed 2026-08-11,A,current standard,observed,accessibility standard,"Nonessential motion animation triggered by interaction needs a way to be disabled.","Reduced motion replaces trace, settle, snap, cut, and beacon transitions with immediate state changes.",high,"Exa discovery and full-text fetch."
R8-024,https://www.tiimoapp.com/,Tiimo - Visual Planner for Every Neurotype,Observed 2026-08-11,C,current first-party product,described,adjacent product,"Tiimo describes visual timelines, spoken or typed AI planning, flexible scheduling, widgets, and cross-device continuity.","Make sequence and next state visible while keeping Restart Thread narrower than a planner.",medium,"Exa discovery and full-text fetch. Vendor claims do not establish effectiveness."
R8-025,https://www.tiimoapp.com/product/widgets-live-activities,Stay on Track with Widgets and Live Updates,Observed 2026-08-11,C,current first-party product,described,adjacent product,"Tiimo describes glanceable widgets, Live Activities, timers, and restrained reminders across devices.","Use a private generic state on glanceable surfaces and preserve cross-surface continuity.",medium,"Exa discovery and full-text fetch. Vendor claims do not establish effectiveness."
R8-026,https://llamalife.co/,Llama Life - Find Your Focus,Observed 2026-08-11,C,current first-party product,described,adjacent product,"Llama Life emphasizes one active task, timeboxing, small steps, and completion feedback.","Keep one first action visually dominant without copying its timer or playful identity.",medium,"Exa discovery and full-text fetch. Vendor claims do not establish effectiveness."
