"year","status","award_family","project","target_problem","signature_mechanism","reported_evidence","evidence_class","platform_or_stack","primary_source","confidence","control_note"
"2024","plausible control","Business viability","TaskAlly","Professionals need AI prioritization across task sources.","Generic AI recommendations prioritize tasks and deadlines.","Submission contains unfilled cloud and AI placeholders and no launch, pricing, or usage proof.","Observed submission.","Claimed Swift and cloud/AI; details incomplete","https://devpost.com/software/taskally","High","Award-entry status is not exposed. Compared with Karo, the problem and mechanism are less specific, and working implementation evidence is weak."
"2024","plausible control","Business viability","HabitBuds","Friends can make habits easier through accountability.","Heat-map habit tracking, widgets, notifications, and planned social sharing.","The central sharing and accountability feature was not finished by submission.","Builder-described limitation.","iOS; SwiftUI; CloudKit; RevenueCat","https://devpost.com/software/habitbuds","High","Award-entry status is not exposed. It shows that a good social thesis is not equivalent to shipping the thesis."
"2024","plausible control","Design","FoxyFocus","Students and workers want a motivating focus timer.","Pomodoro, app blocking, ambient audio, insights, achievements, and a Lottie fox companion.","Builder reported positive testing but no count or task outcome.","Builder-described.","iOS; SwiftUI; Core Data; CloudKit; Lottie","https://devpost.com/software/foxyfocus-focus-study-timer","High","Award-entry status is not exposed. It weakens any claim that animation, app blocking, or polish alone differentiated Flowmino."
"2024","plausible control","Design","Breathe Zen","Users want an accessible paced-breathing habit.","One-tap breathing bubble, customizable sessions, before-and-after mood tracking, and progress.","Early downloads were mentioned without a count; testing was informal.","Builder-described.","iOS; SwiftUI; Core Data; RevenueCat","https://devpost.com/software/breathe-zen","High","Award-entry status is not exposed. The control is polished and coherent but has a less unusual interaction mechanism than Flowmino."
"2024","plausible control","Design","Wonderland","Non-programmers want to create 3D and AR scenes.","A node editor and 3D engine create interactive scenes for iPad and Vision Pro.","No user, performance, release, or monetization proof appears in the extracted submission.","Observed submission.","iPad/Vision Pro; 3D engine; AR; visual scripting","https://devpost.com/software/wonderland-s1h653","High","Award-entry status is not exposed. Ambition and novel technology without concise shipped proof did not distinguish it."
"2024","plausible control","#BuildInPublic","Healthy Hustle","Workers want to understand mood, time, gratitude, and revenue together.","Daily logging and weekly charts relate wellbeing to work.","The Devpost page contains a short feature list and roadmap but no public feedback loop or build narrative.","Observed submission.","Mobile; stack not disclosed","https://devpost.com/software/healthy-hustle","High","Award-entry status is not exposed. It provides a clear negative contrast on submission evidence, not proof of category loss."
"2025","plausible control","Design","Mood Dial for Apple Music","People want music matched to their current state without search overload.","A tactile animated dial combines MusicKit with HealthKit and State of Mind context.","Builder described a late pivot after Apple workshop feedback; no usage metric was extracted.","Builder-described.","iOS/iPadOS; SwiftUI; MusicKit; HealthKit; CloudKit; RevenueCat","https://devpost.com/software/mood-dial-for-apple-music","High","Award-entry status is not exposed. Native APIs, animation, and a distinctive interaction were present outside the winners."
"2025","plausible control","Peace Prize","LockedIn","Young people in developing countries need focus, mentorship, and accountability.","Mentor-led video focus rooms, rewards, notes, messaging, and streaks.","A working architecture and hardship story are described, but impact outcomes and reliability are not quantified.","Builder-described.","React Native/Expo; FastAPI; RabbitMQ; Jitsi; OneSignal; RevenueCat","https://devpost.com/software/lp","High","Award-entry status is not exposed. Founder conviction and feature scope do not substitute for measured benefit or a tightly testable impact mechanism."
"2025","plausible control","OneSignal","Memory Hammer","Learners need durable recall from notes, photos, and mnemonics.","AI flashcards and spaced repetition use motivation tags, onboarding, RevenueCat subscription tags, segments, Journeys, push, email, and in-app messages.","Builder reported 3,000+ installs and 2,000+ users in three weeks; extensive campaign screenshots are present.","Builder-reported.","Android; AI; FSRS; OneSignal; RevenueCat","https://devpost.com/software/memory-hammer-7p2dsa","High","Award-entry status is not exposed. Its deeper integration and larger metric set challenge the idea that implementation depth wins; Cooked This had the clearer single behavior loop."
"2025","plausible control","OneSignal/HAMM","Vega: AI Money Tracker","Multi-currency users need effortless expense capture and proactive budget support.","Chat, voice, and receipt capture plus OneSignal onboarding Journeys and financial-limit alerts.","No adoption, retention, or revenue metric disclosed.","Builder-described.","Flutter; Supabase; OpenAI/Gemini; OneSignal; RevenueCat","https://devpost.com/software/vega-ai-money-tracker","High","Award-entry status is not exposed. Strong integrations without outcome evidence remain hard to score."
"2025","plausible control","Kotlin Multiplatform","Restia","Restaurant staff need a point-of-sale system that survives unreliable networks.","An offline-first CRDT sync engine powers live iOS and Android table and order management.","Both production apps shipped; no user or business metric disclosed.","Builder-described.","iOS and Android; KMP; CRDTs; Elixir/Phoenix; RevenueCat","https://devpost.com/software/restia","High","Award-entry status is not exposed. It is technically more ambitious than Momental, so engineering complexity alone did not distinguish KMP winners."
"2025","plausible control","Kotlin Multiplatform","Kittysplit","Groups need simple expense splitting on mobile.","Existing web logic became KMP/CMP mobile apps with shared business logic and most UI.","Both stores shipped; beta and user praise were described without counts.","Builder-described.","iOS and Android; KMP/CMP; Elixir; RevenueCat","https://devpost.com/software/kittysplit","High","Award-entry status is not exposed. It shows mature product fit and community content outside the placements."
"2025","plausible control","Kotlin Multiplatform","Ask2Color","Children want custom coloring pages from prompts or photos.","KMP app generates outlines, supports in-app coloring or printing, and uses native Swift seams.","No adoption or store-quality metric disclosed.","Builder-described.","iOS and Android; KMP; Gemini; OneSignal; RevenueCat","https://devpost.com/software/ask2color-drawing-for-kids","High","Award-entry status is not exposed. Cross-platform delivery and sponsor integration were not sufficient by themselves."
