pattern_id,candidate_pattern,operational_test,important_controls,status
P01,"One coherent primary loop","Code whether the audience, trigger, primary action, value moment, repeat trigger, and monetization all serve one job.","Controls with more features or integrations but multiple competing loops.","Candidate; not tested across full corpus"
P02,"Short time to first value","Estimate the first session steps and elapsed time before the intended user receives real value, not only onboarding completion.","Controls whose value requires days of data or a network but that use previews, imports, or demos to bridge the delay.","Candidate; not tested across full corpus"
P03,"A shipped differentiating mechanism","Identify a working mechanism visible in the event artifact that changes the user's outcome, rather than a category label or feature inventory.","Controls with the same platform API, AI model, SDK, or broad product category.","Candidate; not tested across full corpus"
P04,"Feedback to decision to shipped change to result","Require a dated public or user input, the builder's decision and trade-off, the released change, and any observed result.","Controls that posted frequently or reported large reach without a traceable product change.","Candidate; not tested across full corpus"
P05,"Information restraint at the decision point","Measure how many choices, concepts, permissions, and competing actions appear when the user is trying to complete the primary task.","Controls with polished screens but higher decision density or multiple modules.","Candidate; not tested across full corpus"
P06,"Judge-observable proof in the submission","Code whether the demo proves the core loop, hard case, monetization moment, and result within the first 60 to 90 seconds.","Controls with stronger written claims or metrics but weaker end-to-end demonstration.","Candidate; not tested across full corpus"
P07,"Monetization follows delivered value","Test whether the user can experience the product's wedge before paying and whether paid value is aligned with cost or durable utility.","Controls with standard paywalls, premature gates, or payment boundaries that block essential access.","Candidate; not tested across full corpus"
P08,"Distribution fits the product mechanism","Identify whether acquisition, sharing, ASO, UGC, partnerships, or invites naturally arise from the audience and normal use.","Controls with larger audience metrics or more channels but weaker product-channel fit.","Candidate; not tested across full corpus"
P09,"Platform-native leverage serves the core loop","Code whether a native capability removes friction or enables the wedge, and whether fallback, permission, and device coverage are handled.","Controls that use equally advanced native APIs without equivalent product coherence.","Candidate; not tested across full corpus"
P10,"Trust, safety, and recovery scale with stakes","Assess privacy, claims, user control, correction, offline behavior, failure recovery, accessibility, and explicit limits in proportion to harm.","Controls with lived experience, strong branding, or adoption but unvalidated high-stakes advice or reliability.","Candidate; not tested across full corpus"
P11,"Early release creates experiment runway","Verify a usable release early enough for feedback, store rework, pricing or onboarding experiments, and at least one shipped iteration.","Controls that launched late but reported high initial reach, or released early without running experiments.","Candidate; not tested across full corpus"
P12,"Founder insight and segment specificity","Code whether the builder identifies a specific user, triggering context, workaround, and non-obvious insight grounded in direct experience or research.","Controls with compelling founder stories but broad audiences or no prioritization decision.","Candidate; not tested across full corpus"
