id,bucket,item,trace_type,trace,acceptance_evidence,dependency_or_cut_rule
M01,must_ship,"One native Kotlin Android project targeting API 36 with Play and Galaxy-capable product flavors",hard_rule,"Google Play target API requirement; eligible Android store release; conditional Galaxy award","Signed Play bundle builds; Galaxy flavor builds without Play billing configuration","If Galaxy seller or billing spike fails keep Play flavor and remove Galaxy claims"
M02,must_ship,"First-launch explanation with no account paywall notification or microphone request",user_value,"Run 7 low-friction and trust contract","User reaches text or voice choice before any unrelated gate","None"
M03,must_ship,"Text capture and Android Share-target entry",user_value,"Equivalent non-voice paths are locked product requirements","Both routes create the same durable thread state","None"
M04,must_ship,"In-app voice capture capped at the accepted 60-second product bound",user_value,"Instant Voice Thread core loop","Start stop cancel and interruption tests produce a recoverable local artifact","RECORD_AUDIO requested just in time"
M05,must_ship,"Write audio or text durably before any cloud request",user_value,"Local-save-before-AI invariant","Network loss process death and provider failure leave an openable thread","Encrypted local persistence"
M06,must_ship,"Deterministic recovery fallback that does not require AI",user_value,"Run 7 Voice Rescue and free-value contract","Offline user can answer the three accepted reset questions and Start","None"
M07,must_ship,"Explicit cloud-processing consent with provider and retention disclosure",hard_rule,"Sensitive audio is transmitted to third parties","No upload occurs before consent; settings expose current processors","Privacy policy and Data Safety declarations"
M08,must_ship,"One thin server endpoint for bounded transcription and grounded draft generation",user_value,"Cloud Pro value without client secrets","Provider keys never ship in app; response validates against a versioned schema","Technical spike 3"
M09,must_ship,"Draft shows You said one editable Start here and no more than three later steps",user_value,"Selected UX information-restraint contract","Schema and UI tests reject additional active steps","Validated AI response"
M10,must_ship,"Direct Trace-back Connector from first action to cited transcript segments",primary_award,"Selected I2-V1 signature and RevenueCat Design evidence","Demo and UI test expose citation source labels without gesture-only access","Grounded-draft schema"
M11,must_ship,"User edit or confirmation before Start",user_value,"AI cannot activate a plan autonomously","No model draft enters active state without explicit user action","None"
M12,must_ship,"Thread state machine with edit undo retry partial-success and stale-result protection",user_value,"Recovery and trust requirements","Unit and UI tests cover accepted transition table","Local repository"
M13,must_ship,"Local history read edit delete and explicit export",user_value,"Owned threads cannot be gated by entitlement","Deletion removes local content; export requires a user-chosen destination","Storage Access Framework"
M14,must_ship,"AES-256-GCM content encryption with a non-exportable Android Keystore key",user_value,"Voice transcript and recovery content are sensitive","Round-trip tamper failure and key-loss tests pass off the main thread","Technical storage spike inside M05"
M15,must_ship,"Exclude thread content and audio from automatic device backup",user_value,"Avoid undecryptable or undisclosed cloud copies","Backup rules test excludes protected files while preserving RevenueCat receipt state as documented","Explicit export remains available"
M16,must_ship,"RevenueCat pro entitlement default Offering monthly and annual packages",hard_rule,"Shipaton requires a RevenueCat-powered purchase; M1 is approved","Sandbox purchase changes pro state in both supported store flavors","Technical spike 2"
M17,must_ship,"Remotely configurable free cloud allowance and post-value paywall",user_value,"Approved M1 boundary and fairness contract","First verified value is reachable free; blocking occurs only before a new cloud request beyond allowance","RevenueCat plus server quota ledger"
M18,must_ship,"Explicit Restore purchases manage subscription grace and expired states",hard_rule,"Store and RevenueCat lifecycle requirements","Restore is user-triggered; existing threads remain usable when pro expires","Store sandbox accounts"
M19,must_ship,"RevenueCat webhook receiver with authorization idempotency and no content",hard_rule,"Reliable entitlement and event evidence","Duplicate lifecycle events do not duplicate effects; secrets stay server-side","Supabase Edge Function"
M20,must_ship,"Privacy-safe event funnel for A1 A2 R1 R2 R3 and R4",user_value,"Approved Run 9 decision metrics","Dashboard derives events without transcript action or source content","Run 9 event taxonomy"
M21,must_ship,"Light dark and increased-contrast-ready Forward Thread theme",primary_award,"Selected H2 visual direction","Critical screens pass automated and manual contrast checks","Run 8 palette"
M22,must_ship,"TalkBack scalable text reduced-motion color-independent and one-handed critical path",primary_award,"Design craft and locked accessibility contract","Accessibility Scanner Compose semantics manual TalkBack and large-text test evidence","Physical Android device"
M23,must_ship,"Adaptive compact medium and expanded layouts plus safe multi-window state retention",primary_award,"Android quality and natural Galaxy optimization","Resize and fold tests preserve draft recording and edit state; no control sits on a hinge","Compose Material 3 Adaptive"
M24,must_ship,"Privacy policy support contact Data Safety forms and truthful store metadata",hard_rule,"Google Play Galaxy Store and Shipaton intake","Published policy matches SDK and data inventory; reviewer notes explain voice and AI","Final dependency audit"
M25,must_ship,"App icon screenshots first-two-minute demo and valid store URL package ID",hard_rule,"Shipaton intake and judge-observable proof","Submission dry run contains every required asset and shows actual app behavior","Live accepted store listing"
M26,must_ship,"Minimal diagnostics using redacted release logs Supabase logs Android vitals opt-in Firebase Crashlytics without Analytics or user IDs and diagnostic export",user_value,"Operational recovery across Play and conditional Galaxy without content leakage","Forced crash server error and export test produce correlation IDs but no user content; collection preference is honored","Play track supplies vitals; Crashlytics covers opted-in cross-flavor reports"
E01,evidence_enhancing,"Android app shortcut that opens prepared capture",user_value,"Low-friction recovery start","Cold prepared start meets the accepted five-second validation gate on tested devices","Cut before core capture quality"
E02,evidence_enhancing,"Glance home-screen widget with one generic recovery action",user_value,"Low-friction entry without private locked content","Widget launches prepared capture and behaves safely when locked","Technical spike 1"
E03,evidence_enhancing,"Conditional Samsung locked-surface or widget-host behavior",secondary_award,"Best App for Galaxy only if physically proven","Physical Galaxy recording start stop save and privacy video","Cut claim immediately if spike 1 fails"
E04,evidence_enhancing,"Galaxy RevenueCat flavor Store listing and real purchase proof",secondary_award,"Same loop and monetization on Galaxy Store","Physical Galaxy test purchase restore expiry and production listing","Technical spike 2 and commercial seller status"
E05,evidence_enhancing,"Fold posture refinement beyond adaptive window classes",secondary_award,"Galaxy-specific judge evidence","Physical or Remote Test Lab video shows useful two-pane or Flex behavior","Cut decorative posture work if no task benefit"
E06,evidence_enhancing,"One user-requested OneSignal restart reminder with cancellation",secondary_award,"Keep Them Coming Back conditional path","Reminder is scheduled after value and canceled on start completion deletion replacement or opt-out","Cut if core D7 evidence is absent"
E07,evidence_enhancing,"G1 acquisition-promise experiment",distribution,"Approved Run 9 experiment","Pre-registered artifact and response log","Does not delay store build"
E08,evidence_enhancing,"G2 physical-Galaxy proof clip",distribution,"Approved Run 9 experiment","Clip shows physical device and real app state","Requires E03 or E04 proof"
E09,evidence_enhancing,"G3 sanitized Restart Card",distribution,"Approved Run 9 experiment","No transcript action health contact time or location content; recipient action measured","Cut if privacy test fails"
E10,evidence_enhancing,"Restrained connector motion haptics and quiet-mode feedback",primary_award,"Selected signature interaction","Motion clarifies causality; static reduced-motion equivalent exists","Cut polish before correctness or accessibility"
P01,post_submission,"Native SwiftUI iPhone and iPad client against the same HTTP contract",user_value,"Builder still prefers Apple as a secondary platform","Separate Apple validation plan after Android release","Not shared UI before deadline"
P02,post_submission,"Apple-silicon Mac compatibility evaluation",user_value,"Secondary Mac interest","Keyboard pointer and window QA before any Mac claim","No native macOS promise"
P03,post_submission,"Optional account linking and encrypted cross-device sync",user_value,"Continuity for people who change devices","Threat model and recovery design precede implementation","No account before first value"
P04,post_submission,"Two-sided temporary Pro referral experiment",distribution,"Conditional direction approved only after G3 proof","Recipient first verified restart and active-subscriber fairness are resolved","No install review or rating incentive"
P05,post_submission,"On-device transcription evaluation",privacy,"May reduce cloud retention and cost","Quality latency language and device coverage spike","Do not claim before measured"
P06,post_submission,"Biometric app lock",privacy,"Optional local shoulder-surfing protection","Recovery and accessibility design complete","Not a substitute for encryption"
P07,post_submission,"Richer fold and tablet workflows",secondary_award,"Use only when user task improves","Usability evidence shows less context loss","No posture demo theater"
P08,post_submission,"Additional AI provider adapter",operations,"Only after reliability cost or policy evidence requires replacement","Migration test demonstrates need","No multi-provider router in MVP"
C01,cut,"iOS iPadOS or macOS release before September 30",scope,"No selected award requires it and the builder tests Android locally","Excluded from the Run 10 critical path","Reconsider after submission"
C02,cut,"Kotlin Everywhere entry",scope,"Would mandate iOS and Android and change the primary proof","No Kotlin Multiplatform branch","Do not add for award eligibility"
C03,cut,"Capacitor or custom hybrid Galaxy billing bridge",scope,"Current RevenueCat docs do not document Capacitor Galaxy support","No unsupported billing bridge","Use native Android SDK"
C04,cut,"C15 partner social loop chat or two-person activation",scope,"Separate persona loop and moderation burden","No partner data model or invitation flow","Keep outside Restart Thread MVP"
C05,cut,"Referral reward in the initial release",scope,"G3 and abuse fairness evidence do not exist","No promo-entitlement automation","Post-submission experiment only"
C06,cut,"Cross-device sync or mandatory account",scope,"Conflicts with fast private first value","Local source of truth only","Optional account later"
C07,cut,"Ads consumables lifetime purchase or launch trial",scope,"M1 is approved and recurring cloud value maps to one subscription","Only monthly and annual Pro products","Revisit with evidence"
C08,cut,"Background continuous listening or automatic recording",privacy,"Not needed for the core loop and conflicts with platform privacy constraints","Microphone runs only after explicit user action","None"
C09,cut,"Autonomous AI reminders contacts or high-stakes prioritization",safety,"Human confirmation is a locked product requirement","AI produces draft text only","None"
