source_id,concept,page_title,url,published_or_observed_date,source_kind,source_tier,current_or_historical,claim_status,material_use,confidence,fallback_record
"R6-001","all","RevenueCat Shipaton 2026 official rules","https://revenuecat-shipaton-2026.devpost.com/rules","2026-08-10","official rules","A","current","observed","Controls eligibility, release, RevenueCat, submission, and award requirements inherited from Runs 0-5.","high","Exa primary; live dynamic revalidation was already documented in Run 5."
"R6-002","all","App Review Guidelines","https://developer.apple.com/app-store/review/guidelines/","2026-08-10 observed","official platform policy","A-primary policy","current","observed","Apple requires UGC safeguards, privacy controls, data minimization, valid health claims, and ongoing value for subscriptions.","high","Exa discovery and full-text fetch."
"R6-003","all","App privacy details on the App Store","https://developer.apple.com/app-store/app-privacy-details/","2026-08-10 observed","official platform documentation","A-primary policy","current","observed","The developer must disclose app and third-party SDK data collection and keep the privacy label current.","high","Exa discovery and full-text fetch."
"R6-004","C07|C12|C13+C14+C15","User Generated Content","https://support.google.com/googleplay/android-developer/answer/9876937","2026-08-10 observed","official platform policy","A-primary policy","current","observed","Google Play requires terms acceptance, reasonable ongoing moderation, reporting, and blocking for UGC and one-to-one interactions.","high","Exa discovery and full-text fetch."
"R6-005","C18","Health Content and Services","https://support.google.com/googleplay/android-developer/answer/16679511?hl=en","2026-08-10 observed","official platform policy","A-primary policy","current","observed","Health apps must complete the declaration, publish a privacy policy, minimize permissions, avoid misleading functionality, and use a non-medical-device disclaimer when applicable.","high","Exa discovery and full-text fetch."
"R6-006","all","User Data","https://support.google.com/googleplay/android-developer/answer/10144311","2026-08-10 observed","official platform policy","A-primary policy","current","observed","Google Play requires disclosure, consent, security, Data Safety accuracy, and in-app plus web account deletion where accounts exist.","high","Exa discovery and full-text fetch."
"R6-007","all","Subscriptions","https://support.google.com/googleplay/android-developer/answer/9900533","2026-08-10 observed","official platform policy","A-primary policy","current","observed","Subscriptions must clearly disclose terms and deliver sustained or recurring value rather than a one-time benefit.","high","Exa discovery and full-text fetch."
"R6-008","C12|C13+C14+C15","Receive messages in Apple platform apps","https://firebase.google.com/docs/cloud-messaging/ios/receive","2026-08-10 observed","official technical documentation","A-primary technical","current","observed","FCM uses APNs on Apple platforms and Apple does not guarantee background-notification delivery.","high","Exa discovery and full-text fetch."
"R6-009","C12|C13+C14+C15","Set the priority of a message","https://firebase.google.com/docs/cloud-messaging/customize-messages/setting-message-priority","2026-08-10 observed","official technical documentation","A-primary technical","current","observed","Normal-priority background messages may be delayed; high priority is attempted immediately; FCM is prohibited for life-critical use cases.","high","Exa discovery and full-text fetch."
"R6-010","C18","Complying with FTC's Health Breach Notification Rule","https://www.ftc.gov/business-guidance/resources/complying-ftcs-health-breach-notification-rule-0","2022-01-21; updated for July 2024 amendments","official federal guidance","A-primary policy","current","observed","The amended rule expressly reaches many non-HIPAA consumer health apps and unauthorized disclosure can trigger notification duties.","high","Exa found the corrected -0 URL and fetched full text. The earlier URL returned CRAWL_NOT_FOUND in Exa and a 404 in Firecrawl; both fallbacks are logged."
"R6-011","C18","Mobile Health App Interactive Tool","https://www.ftc.gov/business-guidance/resources/mobile-health-apps-interactive-tool","2022-12-07; current page observed 2026-08-10","official federal guidance","A-primary policy","current","observed","Mood, sleep, medication, wellness, activity, and symptom apps can implicate FTC, HIPAA, and FDA analyses depending on functions and relationships.","high","Exa discovery and full-text fetch."
"R6-012","C04|C05","OpenAI API Pricing","https://openai.com/api/pricing/","2026-08-10 observed","official vendor pricing","B-primary vendor","current","observed","GPT-Transcribe is listed at $0.0045 per minute and GPT-Live-Transcribe at $0.017 per minute; text-model pricing is usage based.","high","Exa discovery and full-text fetch. Prices are current observations and may change."
"R6-013","C04|C05","File transcription","https://developers.openai.com/api/docs/guides/speech-to-text","2026-08-10 observed","official technical documentation","B-primary vendor","current","observed","Recorded-file transcription accepts common audio formats up to 25 MB; prompts and keywords are hints and require evaluation.","high","Exa discovery and full-text fetch."
"R6-014","C04|C05|C18","Enterprise privacy at OpenAI","https://openai.com/enterprise-privacy/","2026-01-08","official vendor privacy statement","B-primary vendor","current","described","OpenAI states that API Platform business data is not used to train models by default and describes encryption and control commitments.","medium-high","Exa discovery and full-text fetch; this is a vendor statement, not an independent audit."
