"id","area","url","page_title","publication_or_observed_date","source_tier","time_status","claim_status","confidence","material_use","fallback"
"R7-001","interruption mechanism","https://www.interruptions.net/literature/Altmann-CogSci04.pdf","Task Interruption: Resumption Lag and the Role of Cues","2004","A","historical research","measured","high","Laboratory study found a resumption lag and a cue-availability benefit in its task environment; supports testing cues, not app efficacy.","None; Exa full-text extraction"
"R7-002","audience context","https://arxiv.org/html/2603.17258","Not Just Me and My To-Do List","2026-03-18","A","current preprint","described","medium","Twenty-two interviews and a 20-person concept speed-date describe relational and emotional task-management challenges among ADHD-identifying adults.","None; Exa full-text extraction"
"R7-003","social support boundary","https://arxiv.org/html/2605.07851","A Roadmap of Mixed Reality Body Doubling for Adults with ADHD","2026-05-08","A","current preprint","described","medium","Body-doubling research remains limited; supports treating C15 as an experiment rather than proven launch value.","None; Exa full-text extraction"
"R7-004","adjacent contextual capture","https://support.apple.com/guide/ipad/use-quick-notes-ipad5d91fd88/ipados","Use Quick Notes on iPad","Observed 2026-08-10","C","current","observed","high","Quick Notes can appear over another app, preserve links or highlights, and resurface context when the user returns.","None; Exa full-text extraction"
"R7-005","adjacent contextual capture","https://support.apple.com/en-us/102484","Use Reminders on your iPhone, iPad, or iPod touch","Observed 2026-08-10","C","current","observed","high","Reminders supports capture from other apps, widgets, attachments, time/location cues, and recovery of deleted reminders.","None; Exa full-text extraction"
"R7-006","adjacent widget","https://support.google.com/keep/answer/13302793","Get notes on your Android home screen","Observed 2026-08-10","C","current","observed","high","Keep offers single-note, note-collection, and quick-capture widgets; a note can be edited from the home screen.","None; Exa full-text extraction"
"R7-007","adjacent reminders","https://support.google.com/keep/answer/3187168?co=GENIE.Platform%3DAndroid&hl=en","Set up reminders for your notes","Observed 2026-08-10","C","current","observed","high","Keep attaches timed reminders to notes; notification behavior spans Keep, Tasks, and Calendar.","None; Exa full-text extraction"
"R7-008","adjacent quick entry","https://www.todoist.com/help/articles/use-a-todoist-widget-on-your-android-device-632pZA","Use a Todoist widget on your Android device","2026-07-02","C","current","observed","high","Todoist exposes quick add, task list, productivity, and voice-capture widgets and provides a widget preview.","None; Exa full-text extraction"
"R7-009","adjacent quick entry","https://www.todoist.com/help/articles/introduction-to-tasks-080OAXric","Introduction to tasks","2026-07-21","C","current","observed","high","Todoist supports quick capture, contextual task detail, and direct task actions across platforms.","None; Exa full-text extraction"
"R7-010","adjacent visual planning","https://www.tiimoapp.com/","Visual Planner for Every Neurotype | Tiimo","Observed 2026-08-10","C","current vendor page","described","medium","Tiimo describes a visual timeline, countdown, glanceable widgets, personalization, and cross-device continuity.","None; Exa full-text extraction"
"R7-011","adjacent single focus","https://llamalife.co/howitworks","How To | Llama Life","Observed 2026-08-10","C","current vendor page","described","medium","Llama Life loads one top task into a timer and encourages smaller timeboxes; useful as an information-restraint reference.","None; Exa full-text extraction"
"R7-012","close substitute","https://focsapp.com/","Focs | Focus on One Task. Achieve More","Observed 2026-08-10","C","current vendor page","described","medium","Focs describes one selected task, stored context, and restart-oriented positioning; its availability and adoption were not independently verified.","None; Exa full-text extraction"
"R7-013","close substitute","https://whatnextnotes.com/","What Next — Know what's next. Resume what matters.","Observed 2026-08-10","C","current vendor page","described","medium","What Next describes saving desktop file, URL, app, and window context and reopening it later; this narrows Restart Thread's defensible mobile wedge.","None; Exa full-text extraction"
"R7-014","Android share target","https://developer.android.com/training/sharing/receive","Receive simple data from other apps","Observed 2026-08-10","A","current official guidance","observed","high","Register supported MIME types, validate incoming content, and let the user confirm or edit shared data before use.","None; Exa full-text extraction"
"R7-015","Android widget","https://developer.android.com/develop/adaptive-apps/quality-guidelines/widget-quality","Widget quality","Observed 2026-08-10","A","current official guidance","observed","high","Widgets should complete or advance a critical journey, work at minimum size, handle empty/loading states, resize, and update after actions.","None; Exa full-text extraction"
"R7-016","Android notifications","https://developer.android.com/develop/ui/compose/notifications/notification-permission","Notification runtime permission","Observed 2026-08-10","A","current official guidance","observed","high","Android 13+ requires POST_NOTIFICATIONS; guidance recommends asking after users understand the value and in context.","None; Exa full-text extraction"
"R7-017","Android permissions","https://developer.android.com/training/permissions/requesting","Request runtime permissions","Observed 2026-08-10","A","current official guidance","observed","high","Ask in context, make education cancelable, and degrade gracefully when a permission is denied or revoked.","None; Exa full-text extraction"
"R7-018","Android adaptive layout","https://developer.android.com/develop/adaptive-apps/guides/use-window-size-classes","Use window size classes","Observed 2026-08-10","A","current official guidance","observed","high","Layout must react to the current window rather than device type; compact, medium, and expanded widths can change during use.","None; Exa full-text extraction"
"R7-019","Android offline","https://developer.android.com/topic/architecture/data-layer/offline-first","Build an offline-first app","Observed 2026-08-10","A","current official guidance","observed","high","Critical reads and writes should remain useful without reliable network access, with local data available immediately.","None; Exa full-text extraction"
"R7-020","Android state recovery","https://developer.android.com/develop/ui/compose/state-saving","Save UI state in Compose","Observed 2026-08-10","A","current official guidance","observed","high","Configuration change and process death can destroy state; preserve user input and navigation state while persisting complex thread data durably.","None; Exa full-text extraction"
"R7-021","Android navigation","https://developer.android.com/design/ui/mobile/guides/patterns/predictive-back","Predictive back design","Observed 2026-08-10","A","current official guidance","observed","high","Back gestures should preview the destination and leave state unchanged when canceled; avoid controls in system gesture insets.","None; Exa full-text extraction"
"R7-022","Android accessibility","https://developer.android.com/guide/topics/ui/accessibility/apps","Make apps more accessible","Observed 2026-08-10","A","current official guidance","observed","high","Use sufficient contrast, large touch targets, meaningful semantics, and assistive-technology testing.","None; Exa full-text extraction"
"R7-023","Android text scaling","https://developer.android.com/develop/ui/compose/accessibility/scalable-content","Support user-scalable content","Observed 2026-08-10","A","current official guidance","observed","high","Scaled content should reflow to the width instead of forcing horizontal pan-and-scan.","None; Exa full-text extraction"
"R7-024","Android large screens","https://developer.android.com/develop/adaptive-apps/guides/list-detail","Build a list-detail layout","Observed 2026-08-10","A","current official guidance","observed","high","Use one pane on small windows and list-detail side by side when space permits while preserving navigation state.","None; Exa full-text extraction"
"R7-025","Samsung continuity","https://developer.samsung.com/galaxy-z/app-continuity.html","App continuity","Observed 2026-08-10","A","current official guidance","observed","high","Fold/unfold and multi-window changes should preserve the exact task, state, and location; resizable activity supports Galaxy form factors and DeX.","None; Exa full-text extraction"
"R7-026","Galaxy Store quality","https://developer.samsung.com/galaxy-store/distribution-guide.html","App Distribution Guide","Observed 2026-08-10","A","current official policy","observed","high","Galaxy submissions must install, launch, terminate, and run without crashes or functional problems and meet listing requirements.","None; Exa full-text extraction"
"R7-027","Galaxy QA","https://developer.samsung.com/galaxy-store/self-check-list-galaxy.html","Galaxy Self-Check List","Observed 2026-08-10","A","current official guidance","observed","high","Samsung calls for testing sharing, back behavior, rotations, layouts, metadata, and production configuration on distributed devices.","None; Exa full-text extraction"
"R7-028","Apple accessibility","https://developer.apple.com/design/human-interface-guidelines/accessibility","Accessibility","Observed 2026-08-10","A","current official guidance","observed","high","Interfaces should be intuitive, perceivable, adaptable, VoiceOver-compatible, color-independent, and able to enlarge text by at least 200%.","None; Exa full-text extraction"
"R7-029","Apple notifications","https://developer.apple.com/design/human-interface-guidelines/notifications","Notifications","Observed 2026-08-10","A","current official guidance","observed","high","Notifications should be concise, high value, nonrepetitive, privacy-aware, and limited to simple actions when actionable.","None; Exa full-text extraction"
"R7-030","Apple widgets","https://developer.apple.com/design/human-interface-guidelines/widgets/","Widgets","Observed 2026-08-10","A","current official guidance","observed","high","Widgets provide glanceable essential information and focused interactions that adapt to size and context.","None; Exa full-text extraction"
"R7-031","cross-platform accessibility","https://www.w3.org/WAI/WCAG22/quickref/","How to Meet WCAG 2.2","Observed 2026-08-10","A","current standard","observed","high","Supports text alternatives, color independence, contrast, reflow, visible focus, labels, and target-size requirements.","None; Exa full-text extraction"
"R7-032","subscription self-service","https://www.revenuecat.com/docs/tools/customer-center","Customer Center","Observed 2026-08-10","A","current official sponsor guidance","observed","high","Customer Center can expose cancellation, restore, support, deep links, and plan changes; the documented tool is limited to Pro and Enterprise plans.","None; Exa full-text extraction"
"R7-033","purchase restore","https://www.revenuecat.com/docs/getting-started/restoring-purchases","Restoring Purchases","Observed 2026-08-10","A","current official sponsor guidance","observed","high","Every app should provide a user-triggered restore path; automatic restore can trigger sign-in or identity-transfer behavior.","None; Exa full-text extraction"
"R7-034","paywall states","https://www.revenuecat.com/docs/tools/paywalls/displaying-paywalls","Displaying Paywalls","Observed 2026-08-10","A","current official sponsor guidance","observed","high","RevenueCat supports purchase and restore callbacks and platform-specific paywall presentation; the app still owns outcome and error states.","None; Exa full-text extraction"
"R7-035","Apple subscription states","https://developer.apple.com/documentation/storekit/handling-subscriptions-billing","Handling Subscriptions Billing","Observed 2026-08-10","A","current official guidance","observed","high","The app must handle active, renewed, lapsed, expired, billing-retry, and restore conditions over time.","None; Exa full-text extraction"
