area,metric_or_question,numerator_or_event,denominator_or_comparison,required_dimensions,evidence_owner,product_hypothesis,decision,privacy_boundary,validation_status
Acquisition,"Promise-to-qualified-waitlist","waitlist_completed","Tagged qualified landing visits","message_variant; source; platform; scenario_category; observed_date","Owned landing telemetry","One of G1's honest promises reaches the intended segment","Select by qualified completion and matching scenario rather than impressions","No email in event payload; consented contact remains in the waitlist system","Unmeasured"
Activation,"A1 primary verified-start activation","recovery_draft_opened followed within 120 seconds by first_action_confirmed or first_action_edited and verified_restart_started","Eligible recovery_draft_opened","entry_surface; input_mode; platform; app_version; experiment_ids","Owned product events","An inspectable draft can hand control to one real action quickly","Repair evidence action quality or Start friction before growth or paywall","No audio transcript action text source content or stable device ID","Unmeasured"
Activation,"A2 end-to-end intent conversion","recovery_intent_started followed by verified_restart_started","Eligible recovery_intent_started","entry_surface; permission_result; offline; input_mode; platform; app_version","Owned product events","The complete entry processing and review path is usable","Locate stage loss; do not let A1 hide capture or processing failure","No audio transcript action text or source content","Unmeasured"
Reliability,"Durable local-save rate","thread_local_saved","thread recording or text commits attempted","entry_surface; offline; app_version; storage_state","Owned product events plus device tests","No thought state is lost before cloud work","Any committed-content loss blocks release","No audio file path transcript or free text","Unmeasured"
AI quality,"Grounded statement coverage","Draft factual statements supported by evidence IDs","All graded factual draft statements","provider; model; fixture_version; negation_case; observed_date","Structured fixture audit","The plan is inspectable and bounded by the user's capture","Any reversed negation stops the candidate; use accepted coverage thresholds","Use synthetic or consented scripted content; no production task content","Unmeasured"
Retention,"R1 D7 second distinct verified restart","Users with a verified restart on a different thread in the D7 window","Activated users eligible for the D7 window","activation_cohort; app_version; acquisition_source; platform","Owned product events","Restart Thread solves recurring interruption recovery","Compare cohorts and interview observed recurrence before changing price","Pseudonymous cohort only; no thread content","Unmeasured"
Retention,"R2 derived D7 meaningful-return union","Users with same-thread verified progress or a distinct verified restart in D7","Activated users eligible for the D7 window","same_thread_component; distinct_thread_component; app_version","Owned product events","The app may support continuity even when a second interruption does not occur","Report both components; never substitute R2 for R1","Pseudonymous cohort only; no thread content","Unmeasured"
Retention,"R3 D1 meaningful return","Users with verified start or completion in D1","Activated users eligible for D1","relationship_to_activation_thread; app_version; source","Owned product events","Early continuity reveals whether the first action survives the interruption","Use as diagnosis for return timing and task continuity","Pseudonymous cohort only","Unmeasured"
Retention,"R4 D30 second distinct verified restart","Users with a second distinct verified restart by D30","Activated users eligible for D30","activation_cohort; app_version; acquisition_source","Owned product events","The need recurs beyond the hackathon's short observation window","Keep as a post-submission diagnostic; do not fabricate deadline evidence","Pseudonymous cohort only","Unmeasured"
Monetization,"Post-value paywall to entitlement","entitlement_changed to active pro after paywall_viewed","Eligible post-value paywall_viewed","placement; offering_id; package_id; store; country; currency; app_version","Owned events plus RevenueCat","Paid cloud value is proportional after free value is understood","Validate boundary plan and copy separately; repair lifecycle before price tests","No task content or payment data in analytics","Unmeasured"
Monetization,"Restore success","restore_result with active expected entitlement","restore_requested","store; prior_state; reinstall_state; app_version","Owned events plus RevenueCat and store test","A prior purchase is recoverable without an account-first flow","Block affected store candidate if the correct purchase cannot be restored","No payment instrument or task content","Unmeasured"
Monetization,"Paid retention","subscription_renewed and active entitlement","Paid subscriptions eligible to renew","store; product_id; renewal_number; acquisition_cohort","RevenueCat lifecycle data","Recurring cloud value continues beyond the first term","Interpret with refunds cancellations and usage; no deadline claim before maturity","RevenueCat identifiers only under disclosed privacy rules","Unmeasured"
Notification,"Reminder-to-verified-start value","verified_restart_started after recovery_deep_link_resolved on intended thread","User-requested reminders sent or opened as separately reported denominators","message_variant_id; scheduled_delay_bucket; app_version; target_state","Owned events plus OneSignal diagnostics","One respectful reminder restores the same confirmed action","Fix timing state and deep link before copy; never raise frequency as first response","Notification and analytics contain no transcript action text or thread ID","Unmeasured and conditional"
Notification,"Delivery diagnostics","confirmed receipt; click; failed; suppressed","Messages scheduled or sent","message_id; variant; platform; app_version","OneSignal report plus backend log","The deployed campaign is technically reliable","Use for debugging only; do not call delivery user value","Export required aggregate evidence before the applicable OneSignal retention window ends","Unmeasured and conditional"
Galaxy,"Adaptive continuity","galaxy_window_state_changed without loss of current task state or focus","Tested fold unfold rotation and multi-window transitions","device_model; posture; screen; app_version; accessibility_settings","Physical Galaxy or Samsung Remote Test Lab evidence","Galaxy adaptation improves the same recovery loop","Remove the optimization claim if continuity or reading order fails","No content in posture telemetry","Unmeasured and conditional"
Galaxy,"Galaxy purchase truth","Successful purchase restore failure and expiry matrix","Required physical Galaxy purchase scenarios","billing_mode; product_id; app_version; device_model","RevenueCat store logs plus physical Galaxy video","One pro entitlement works in the Galaxy distribution flavor","Drop Galaxy billing and award if the matrix cannot be proven","No payment instrument or task content","Unmeasured and conditional"
Accessibility,"Critical-path equivalent completion","Critical tasks completed without blocking accessibility defect","Accessibility-condition critical tasks","setting; input_mode; window_state; app_version; issue_severity","Moderated study and engineering test","Voice and visual craft preserve an equivalent path","Any blocking defect stops the affected candidate","No diagnosis or private content in analytics","Unmeasured"
Performance,"Startup and frame behavior","Macrobenchmark StartupTimingMetric and FrameTimingMetric outputs","Release-candidate benchmark iterations on named physical hardware","device; OS; build; posture; thermal_state; observed_date","Android benchmark artifacts","Quick entry and signature motion remain responsive","Use measured trace evidence and compare revisions; do not invent a universal target","Performance traces contain no task content","Unmeasured"
