cohort,year,award_family,project,evidence_coverage,P01,P02,P03,P04,P05,P06,P07,P10,P11,S01,S02,S03,S04,S05,S06,S07,S08,notes
winner,2024,Most Likely to Make Money,Karo,high,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,"Event-period dossier; metric is builder-reported"
winner,2024,Most Likely to Make Money,Zerocam Mono,medium,2,2,2,1,2,2,2,1,1,2,1,2,2,0,1,2,1,"Minimal camera and visual signature; reception not quantified"
winner,2024,Most Likely to Make Money,Party Animals!,medium,2,2,1,1,1,2,2,1,1,2,1,1,1,1,1,2,1,"Trials and conversions described; exact counts absent"
winner,2024,RevenueCat Design,Flowmino,high,2,2,2,2,2,2,1,2,1,2,1,2,2,0,0,2,2,"Native motion and state craft; paid boundary less fully evidenced"
winner,2024,RevenueCat Design,Rakun Talk,high,2,2,2,1,2,2,1,1,1,2,2,2,1,0,0,2,1,"Strong one-task conversation flow; no traction metric"
winner,2024,RevenueCat Design,Apol,medium,1,1,2,0,0,2,U,0,0,2,1,0,2,0,0,2,0,"Memorable debate visualization; broad scope and thin trust evidence"
winner,2024,#BuildInPublic,Meshing,high,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,2,1,"Public iteration and recipient-value sharing are well evidenced"
winner,2024,#BuildInPublic,Food Sense,medium,2,1,1,2,1,2,1,1,1,2,2,2,2,0,0,1,1,"Community navigation change observed; medical inference remained planned"
winner,2024,#BuildInPublic,BJJ Evolve,medium,1,1,1,2,1,1,U,1,1,1,2,2,1,0,1,1,1,"Practitioner insight and gym testing; sparse metrics and store evidence"
winner,2025,Grand Prize: Build & Grow,Payout,high,2,2,2,2,2,2,2,1,2,2,1,2,1,2,1,2,1,"Strong shipped business proof; platform leverage is secondary"
winner,2025,#BuildInPublic,Gurwi,high,2,1,2,2,1,2,1,1,2,2,2,0,1,2,2,2,1,"Broad product but exceptional public learning and traction"
winner,2025,#BuildInPublic,Echo Reminder,high,2,2,2,2,2,2,2,1,1,2,2,2,1,0,1,1,1,"Focused loop and complete feedback chain; weak quantified traction"
winner,2025,#BuildInPublic,Tomo Japan,high,2,2,1,2,1,2,2,1,1,2,2,2,2,1,1,2,1,"Frequent public changes; moderate product-specific differentiation"
winner,2025,RevenueCat Design,Dayloop,high,2,2,2,2,2,2,1,2,1,2,2,2,2,0,2,2,2,"Strong visual and native interaction evidence; sharing is product output"
winner,2025,RevenueCat Design,SkillMe,medium,1,1,1,0,1,2,1,0,0,2,1,1,2,0,0,1,0,"Polished working app; adaptive loop and trust behavior mostly promised"
winner,2025,RevenueCat Design,PitchLab,high,2,1,2,2,1,2,2,1,2,2,2,1,2,2,1,1,1,"Strong traction and iteration; accumulated scope reduces restraint"
