id,risk,probability,impact,detection_date_or_signal,mitigation,fallback,owner
R01,"Planned Google account is a new personal account subject to the 12-tester 14-day continuous closed-test gate",high,critical,"2026-08-11 account type and creation date check","Activate account recruit testers and start a meaningful closed build by 2026-08-19","Use an accepted Galaxy listing if eligible; otherwise the ordinary Shipaton entry cannot proceed",builder
R02,"Google denies production access because testing evidence or engagement is insufficient",medium,critical,"Production-access application after 14 complete days","Collect opt-in continuity feedback fixes and accurate application answers","Continue closed testing while pursuing Galaxy; never claim a guaranteed Google approval date",builder
R03,"Samsung commercial seller status or service-account setup is delayed",medium,high,"Account application status by 2026-08-18","Apply immediately with matching identity banking support and privacy information","Ship Google Play only and drop Best App for Galaxy",builder
R04,"Galaxy purchase cannot be validated on physical hardware",medium,high,"Technical spike 2 by 2026-08-18","Use a physical Galaxy signed into a Samsung account and test RevenueCat TEST and failure modes","Remove Galaxy product flavor from submitted scope and use Play billing",builder
R05,"Third-party locked-surface voice start is unsupported or unreliable on target Galaxy devices",high,medium,"Technical spike 1 by 2026-08-16","Test widget notification keyguard and user-visible activity paths without exposing content","Use app shortcut and home widget that unlock into prepared capture; do not advertise no-unlock recording",builder
R06,"Recorder process death or interruption corrupts the only capture",medium,high,"Spike 1 and automated interruption tests","Write finalized chunks atomically record state transitions and confirm local save before upload","Preserve text entry and deterministic recovery; show a recoverable partial-save state",builder
R07,"Supabase Edge Function or model provider exceeds its response window",medium,high,"Spike 3 latency and timeout traces by 2026-08-18","Keep request bounded send an early status where appropriate and make retries idempotent","Return to the saved thread with deterministic recovery and manual cloud retry",builder
R08,"AI reverses a negation invents context or produces an unsupported first action",medium,high,"Grounding fixture and five-user review before 2026-08-27","Require cited segments schema validation human edit or confirmation and safety copy","Suppress the AI draft and offer deterministic reset plus transcript edit",builder
R09,"Sensitive content appears in logs analytics notifications or store screenshots",low,critical,"Automated redaction tests and pre-submission data inventory","Allowlist metadata fields ban content logging use generic notifications and sanitize test fixtures","Disable affected telemetry or reminder path and rotate any exposed secret",builder
R10,"Encryption key loss or backup behavior makes restored content unreadable",medium,high,"Backup restore uninstall and export tests by 2026-08-25","Exclude protected content from Auto Backup disclose local-only behavior and provide explicit export","Preserve RevenueCat receipt state separately; user starts a new local vault after reinstall",builder
R11,"Subscription state differs across Play Galaxy RevenueCat webhook and local cache",medium,high,"Sandbox lifecycle matrix by 2026-08-27","Use one pro entitlement store-specific products idempotent webhooks and CustomerInfo refresh","Keep free and owned content available; retry restore and show store-management route",builder
R12,"Store reviewers interpret the app as making health or therapeutic claims",medium,high,"Metadata and reviewer feedback","Use general interruption-recovery language disclose AI limits and provide review notes","Remove disputed claims and resubmit without changing the core utility",builder
R13,"Solo schedule slips because conditional awards become de facto MVP",high,high,"Any must-ship critical-path item misses its evidence date","Enforce the backlog buckets and cut Galaxy reminder widget polish or motion in that order when their dependency fails","Submit the coherent Play or Galaxy core for RevenueCat Design",builder
R14,"Adaptive or fold changes lose an active recording or draft",medium,medium,"Resize fold and multi-window tests by 2026-08-25","Persist state outside the composition and treat window changes as rendering changes","Use a single-pane adaptive layout while preserving state",builder
R15,"OneSignal reminder arrives after the user starts completes deletes or replaces the thread",medium,medium,"Scheduled-message race integration test","Store message ID cancel on every suppressing transition and make stale deep links safe","Cut the reminder secondary path",builder
R16,"Free anonymous cloud access is abused",medium,medium,"Quota and provider-cost anomalies during closed test","Use resettable install-scoped credentials server-side quotas rate limits and a remote kill switch","Disable cloud samples while leaving local and deterministic recovery available",builder
R17,"OpenAI default abuse-monitoring retention conflicts with user expectations",medium,high,"Privacy review before cloud consent copy freezes","Disclose the current processor retention minimize sent content and avoid persistent API features","Use deterministic recovery only until an acceptable provider or approved retention control exists",builder
R18,"A store URL is not live early enough for the Devpost intake check",medium,critical,"No accepted listing by 2026-09-18","Submit Galaxy on 2026-09-08 and Play immediately after production access; keep reviewer responses same-day","Cut all secondary work and focus only on an accepted store build and truthful submission assets",builder
