source_id,problem,page_title,url,published_or_observed_date,source_kind,source_tier,current_or_historical,claim_status,material_use,confidence,fallback_record
R5-001,all,"RevenueCat Shipaton 2026 official rules",https://revenuecat-shipaton-2026.devpost.com/rules,2026-08-09,official rules,A,current,observed,"Revalidated dates, platform and store gates, category dependencies, submission evidence, Next Gen exception, and one-Influencer limit.",high,"Exa remained the primary research system; Firecrawl performed a live dynamic-page validation because the rules can change."
R5-002,T2-S1,"Infer defect location from photos and dictation",https://attik.featurebase.app/p/infer-defect-location-from-photos-and-dictation,2026-05-15,vendor roadmap,C,current,"observed and described","Shows a current inspection-product request to infer real-world defect location from photo context and spoken narrative, with explicit confidence, override, privacy, and offline questions.",medium-high,"Exa supplied discovery and full text; Firecrawl independently rendered the dynamic Featurebase page. The page reports 76 upvoters, but the provenance of those votes is unknown."
R5-003,T2-S1,"Binsr Inspect: AI Home Inspection Software Review 2026",https://www.upinspect.com/post/binsr-inspect-ai-home-inspection-software-review-2026-a-home-inspector-honest-take,2026-03-28,builder review and testimonial,C,current,described,"A solo inspector describes photo-placement friction, field interruption, batch grouping, same-day report pressure, and value from preserving the inspector's own language.",medium,"The author discloses beta access and a referral benefit. Treat product and revenue claims as testimony, not independent measurement."
R5-004,T2-S2,"Stop Scope Creep: WhatsApp Chat to Change Log",https://www.threadrecap.com/en/blog/stop-scope-creep-whatsapp-change-log,2026-02-10,vendor guidance,C,current,described,"Documents the proposed workflow of converting scattered messages and voice notes into dated scope changes, source excerpts, impact, and client confirmation.",medium-low,"Commercial source for a competing product. Use it to establish the workaround and product shape, not prevalence or legal effect."
R5-005,T3-S1,"The Cognitive Dimension of Household Labor",https://sage.cnpereading.com/doi/10.1177/0003122419859007,2019-07-22,peer-reviewed qualitative research,C-primary research,current,measured,"Seventy interviews with 35 couples define cognitive labor as anticipating needs, identifying options, deciding, and monitoring; this supports end-to-end ownership rather than delegated chores.",high,none
R5-006,T3-S1,"Chore apps were meant to make mothers' lives easier. They often don't.",https://www.technologyreview.com/2022/05/10/1051954/chore-apps/,2022-05-10,reported interviews and analysis,C,current,described,"Reports that chore apps can add administrative work to the already overloaded partner and that uptake by the less-engaged partner is the key unresolved barrier.",medium-high,"Journalistic synthesis, not prevalence research; inherited Run 4 source re-fetched for concept discipline."
R5-007,T5-S1,"Not Just Me and My To-Do List: Understanding Challenges of Task Management for Adults with ADHD and the Need for AI-Augmented Social Scaffolds",https://arxiv.org/html/2603.17258,2026-03-19,research preprint,C-primary research,current,measured,"Twenty-two interviews describe initiation difficulty, time-perception mismatch, planning anxiety, tool-maintenance avoidance, and interest in flexible or social scaffolds.",medium-high,"Preprint and small qualitative sample. It supports mechanisms and design questions, not prevalence or clinical efficacy."
R5-008,T5-S1,"Designing Digital Productivity Support for Adults with ADHD",https://odr.chalmers.se/items/602f3701-7897-44fe-9b82-1abb6a336824,2026,user-centered master's thesis,C-primary research,current,measured,"A 69-response survey and 15-participant exploratory evaluation support low-setup capture, task breakdown, energy-aware planning, gentle feedback, and optional companionship while exposing discoverability risk.",medium,"Student thesis and exploratory prototype evaluation; no clinical outcome claim."
R5-009,T5-S2,"Pacing and energy management with digital tools for conditions with chronic fatigue",https://journals.plos.org/digitalhealth/article?id=10.1371%2Fjournal.pdig.0001586,2026-07-27,peer-reviewed research commentary and evidence review,C-primary research,current,"measured and described","Defines individualized pacing and push-crash avoidance, reports that one six-month digital intervention was safe and feasible but not superior to usual care, and warns about data and alert overload.",high,"Supports a conservative self-management boundary and uncertainty; it does not establish product efficacy."
R5-010,T5-S2,"Experiences of pacing to reduce symptoms among adults living with Long COVID",https://link.springer.com/article/10.1186/s12982-025-00822-0,2025-08-11,peer-reviewed qualitative research,C-primary research,current,measured,"Forty adults describe pacing as a moving target involving prioritization, rest, sacrifice, and changing capacity; energy-budget metaphors help make the work tangible.",high,"Condition-specific sample; do not generalize to every chronic illness or present pacing as a cure."
R5-011,T5-S3,"Resume learning after two-month break: best practices",https://forums.ankiweb.net/t/resume-learning-after-two-month-break-best-practices/64522,2025-07-24,community support thread,C,current,observed,"Learners describe thousands of due cards, dread, fatigue, and competing recovery strategies such as filtered decks, bounded daily loads, and priority-based review.",medium,"One community thread is mechanism evidence, not prevalence evidence."
R5-012,T5-S3,"Due times after a break",https://faqs.ankiweb.net/due-times-after-a-break.html,2026-08-09,official product support guidance,C,current,observed,"Explains why resetting can discard useful history and why return flows can adapt intervals based on retained knowledge instead of treating all progress as lost.",medium-high,"Anki-specific behavior; it supports a learning-reentry mechanism, not a universal algorithm."
R5-013,platform,"RevenueCat Capacitor installation",https://www.revenuecat.com/docs/getting-started/installation/capacitor,2026-08-09,official technical documentation,A,current,observed,"Confirms an official Capacitor purchase SDK path for Android and iOS, including platform-specific purchase configuration.",high,none
R5-014,platform,"Adaptive app quality guidelines",https://developer.android.com/develop/adaptive-apps/quality-guidelines/adaptive-app-quality,2026-04-10,official platform documentation,A,current,observed,"Defines adaptive-ready, optimized, and differentiated Android quality tiers and testing across foldables, tablets, desktops, and resizable windows.",high,none
R5-015,platform,"App continuity",https://developer.samsung.com/galaxy-z/app-continuity.html,2026-08-09,official platform documentation,A,current,observed,"Requires state preservation through fold and unfold configuration changes and resizable activity support for foldables, multi-window, and DeX.",high,none
R5-016,platform,"Designing for foldables",https://developer.samsung.com/one-ui/largescreen-and-foldable/designing_for_foldable.html,2026-08-09,official platform documentation,A,current,observed,"Documents continuity, responsive layouts, landscape support, Flex mode, crease avoidance, and control placement for Galaxy foldables.",high,none
R5-017,platform,"Capacitor environment setup",https://capacitorjs.com/docs/getting-started/environment-setup,2026-08-09,official framework documentation,A,current,observed,"States that Capacitor's officially supported targets are Android, iOS, and web, and that iOS work requires macOS and Xcode.",high,none
R5-018,platform,"Manage availability of iPhone and iPad apps on Macs with Apple silicon",https://developer.apple.com/help/app-store-connect/manage-your-apps-availability/manage-availability-of-iphone-and-ipad-apps-on-macs-with-apple-silicon/,2026-08-09,official platform documentation,A,current,observed,"Confirms that compatible iPhone and iPad apps can be distributed on Apple-silicon Macs without a separate port and can be compatibility-tested and verified.",high,none
R5-019,platform,"Capacitor issue 5855: Add Mac Catalyst support",https://github.com/ionic-team/capacitor/issues/5855,2024-02-02,framework maintainer issue,C,current,observed,"A Capacitor maintainer closes the Catalyst request and states that Catalyst is not an officially supported target; iPad-style execution on macOS remains the suggested alternative.",high,"GitHub issue used because the official Capacitor target list omits macOS but does not explicitly discuss Catalyst."
