source_id,url_or_path,page_title,published_or_observed_date,source_tier,timing,claim_status,source_type,material_claim,run_11_use,confidence,fallback_or_limitation
R11-001,https://revenuecat-shipaton-2026.devpost.com/rules,RevenueCat Shipaton 2026 Official Rules,Observed 2026-08-11,A,current,observed,official rules,"The deadline judging period eligible stores working-device demo submission assets judge access English US availability ordered Design and OneSignal criteria Galaxy 20% criterion and tie process are defined in the rules.","Controls the checklist demo matrix dates and tie-critical rows.",high,"Exa fetched the rules; Firecrawl forced-live query extracted the required fields. Rules can change and must be rechecked before submission."
R11-002,https://www.shipaton.com/blog/how-we-judge-shipaton,How we judge Shipaton,Published 2026-06-26,A,current,described,official judging guide,"Intake validates store and submission fields; prescreeners must watch the first two minutes and read the entry; final judges review description video and screenshots but need not install.","Makes judge-visible first-two-minute proof and complete intake artifacts mandatory to the plan.",high,"The organizer says the process is subject to change."
R11-003,https://www.shipaton.com/categories/best-app-for-galaxy,Best App for Galaxy,Observed 2026-08-11,A,current,observed,official award page,"A live Galaxy Store app and thoughtful Galaxy optimization are required; foldable Samsung-specific and device optimization plus store quality are relevant.","Defines the conditional Galaxy proof rows.",high,"The page and rules do not decompose the standard remaining 80% criteria."
R11-004,https://www.shipaton.com/categories/revenuecat-design-award,RevenueCat Design Award,Observed 2026-08-11,A,current,observed,official award page,"The award emphasizes innovative ideas interface and interaction craft and animation; the submission should identify exact design elements and where to see them.","Shapes the primary-award narrative and timestamp proof.",high,"The official rules supply the controlling ordered criteria."
R11-005,https://www.shipaton.com/categories/keep-them-coming-back-award,Keep Them Coming Back Award,Observed 2026-08-11,A,current,observed,official award page,"A live app working OneSignal integration and deployed campaign are required; one thoughtful push can qualify; implementation user value resourcefulness and depth are emphasized.","Defines the conditional OneSignal proof plan.",high,"The official rules list three ordered criteria; this page's depth bullet is treated as support under resourcefulness not a fourth formal criterion."
R11-006,https://documentation.onesignal.com/docs/en/analytics-overview,OneSignal Analytics overview,Observed 2026-08-11,A,current,observed,official technical documentation,"OneSignal reports delivery engagement and conversion metrics; custom conversion metrics use attributed custom events; legacy outcomes are being replaced; API-sent message data has a stated 30-day retention in the referenced report context.","Keeps delivery diagnostics separate from the app-owned verified-start outcome and requires timely evidence export.",high,"Conversion metrics is described as beta and can change."
R11-007,https://documentation.onesignal.com/docs/en/push-notification-message-reports,OneSignal Push message reports,Observed 2026-08-11,A,current,observed,official technical documentation,"Confirmed receipt and clicks come from the device SDK while delivered refers to delivery to push services; reports expose failures and message-level activity.","Defines notification diagnostics and prevents a send or delivered count from being called user value.",high,"OneSignal cannot prove the product's private-thread Start outcome without app-owned events."
R11-008,https://developer.android.com/develop/ui/compose/accessibility/testing,Testing accessibility in Jetpack Compose,Observed 2026-08-11,A,current,observed,official platform documentation,"Manual TalkBack and Switch Access testing is essential; Compose tests and the Accessibility Test Framework can check semantics labels contrast target size and traversal order.","Defines the combined manual and automated accessibility evidence.",high,"Automated checks cannot replace assistive-technology use."
R11-009,https://developer.android.com/develop/ui/compose/accessibility/semantics,Semantics in Jetpack Compose,Observed 2026-08-11,A,current,observed,official platform documentation,"Compose semantics convey role state action headings and live-region meaning to accessibility services and automated tests.","Controls name role state focus announcement and test assertions for custom visual interactions.",high,"Custom components still require correct authoring and manual validation."
R11-010,https://developer.android.com/topic/performance/benchmarking/macrobenchmark-metrics,Capture Macrobenchmark metrics,Observed 2026-08-11,A,current,observed,official platform documentation,"StartupTimingMetric measures time to initial and full display and FrameTimingMetric measures frame duration and overrun distributions.","Defines reproducible startup and signature-motion evidence without inventing a performance number.",high,"A measured result remains device build and scenario specific."
