"historical_year","historical_award","historical_original_criteria","2026_award_or_family","comparability","what_persisted","what_changed_or_disappeared","sources","confidence"
"2024","Most Likely to Make Money","1 Overall business viability; 2 App design and execution; 3 Monetization strategy; 4 Onboarding and paywall design; 5 ASO best practices","Grand Prize","Partially comparable","Market viability, execution, monetization, launch quality, and growth remain relevant.","The 2026 Grand Prize shortlists by RevenueCat-reported submission-period revenue and scores Early and Effective Release plus Growth by numbers; 2024 directly scored paywall and ASO and had no revenue shortlist.","https://revenuecat-ship-a-ton.devpost.com/rules | https://revenuecat-shipaton-2026.devpost.com/rules | https://www.shipaton.com/categories/grand-prize","High"
"2024","Most Likely to Make Money","1 Overall business viability; 2 App design and execution; 3 Monetization strategy; 4 Onboarding and paywall design; 5 ASO best practices","HAMM Award","Partially comparable","A coherent revenue model, value exchange, and long-term viability persist.","2026 HAMM rewards clarity, creativity, and financial viability of monetization rather than overall product design, ASO, or demonstrated growth.","https://revenuecat-ship-a-ton.devpost.com/rules | https://revenuecat-shipaton-2026.devpost.com/rules | https://www.shipaton.com/categories/hamm-award","High"
"2024","RevenueCat Design Award","1 Innovative ideas; 2 Aesthetics, delight, animation, gesture interaction, and art","RevenueCat Design Award","Equivalent","Innovation, aesthetics, delight, interaction quality, motion, and visual craft remain the center of the category.","2026 guidance is more explicit about end-to-end coherence, usability, hierarchy, accessibility, and platform conventions, but does not replace the same core criteria.","https://revenuecat-ship-a-ton.devpost.com/rules | https://revenuecat-shipaton-2025.devpost.com/rules | https://revenuecat-shipaton-2026.devpost.com/rules | https://www.shipaton.com/categories/revenuecat-design-award","High"
"2024","#BuildInPublic","1 Sharing your story; 2 Engagement; 3 Lessons Learned; audience size does not matter","#BuildInPublic Award","Equivalent","Public journey, creative storytelling, response from others, product changes, and lessons persist with stable wording across all three years.","Dates, required hashtags, and exact evidence requirements change by year; 2026 has a start-time conflict in published materials, resolved for planning as August 1 by builder instruction.","https://revenuecat-ship-a-ton.devpost.com/rules | https://revenuecat-shipaton-2025.devpost.com/rules | https://revenuecat-shipaton-2026.devpost.com/rules | https://www.shipaton.com/categories/build-in-public-award","High"
"2025","Grand Prize: Build & Grow","1 Early and Effective Release; 2 Growth by numbers","Grand Prize","Equivalent with a material gate change","Early usable release, iterative experiments, and attributable installs, activity, paying customers, MRR/ARR, or other growth metrics persist.","In 2026, RevenueCat-reported submission-period revenue determines the shortlist before scored judging; highest revenue does not automatically win.","https://revenuecat-shipaton-2025.devpost.com/rules | https://revenuecat-shipaton-2026.devpost.com/rules | https://www.shipaton.com/categories/grand-prize","High"
"2025","RevenueCat Design Award","1 Innovative ideas; 2 Aesthetics","RevenueCat Design Award","Equivalent","The same two named criteria and examples of technical or UX innovation, animation, gesture interaction, and visual delight persist.","2026 supporting guidance adds broader UX-quality expectations but the formal category remains highly stable.","https://revenuecat-shipaton-2025.devpost.com/rules | https://revenuecat-shipaton-2026.devpost.com/rules | https://www.shipaton.com/categories/revenuecat-design-award","High"
"2025","#BuildInPublic","1 Sharing your story; 2 Engagement; 3 Lessons Learned","#BuildInPublic Award","Equivalent","Criterion names, ordering, feedback-to-change logic, and audience-size caveat persist.","Only the event dates, hashtags, and submission evidence differ.","https://revenuecat-shipaton-2025.devpost.com/rules | https://revenuecat-shipaton-2026.devpost.com/rules | https://www.shipaton.com/categories/build-in-public-award","High"
"2025","Buzziest Launch","1 Visibility; 2 Creativity; 3 Audience Engagement and Reach","Most Viral Award","Partially comparable","Multi-channel launch execution, memorable stunts, chatter, and reach remain relevant.","The renamed 2026 category emphasizes a repeatable viral mechanism, organic sharing, and conversion or retention rather than launch noise alone.","https://revenuecat-shipaton-2025.devpost.com/rules | https://revenuecat-shipaton-2026.devpost.com/rules | https://www.shipaton.com/categories/most-viral-award","High"
"2025","HAMM","1 Clarity of Monetization Strategy; 2 Creativity of Monetization Strategy; 3 Financial Viability","HAMM Award","Equivalent","The same ordered concern for clarity, originality, scalability, differentiation, and sustainable economics persists.","2026 examples and sponsor context broaden the evidence expected, but the core test is stable.","https://revenuecat-shipaton-2025.devpost.com/rules | https://revenuecat-shipaton-2026.devpost.com/rules | https://www.shipaton.com/categories/hamm-award","High"
"2025","RevenueCat Peace Prize","1 Impact; 2 Feasibility","RevenueCat Peace Prize","Equivalent","Specific benefit to people or society and realistic delivery with either broad reach or deep small-group impact persist.","2026 materials put more operational weight on safety, accessibility, privacy, and credible evidence, while formal criterion names remain the same.","https://revenuecat-shipaton-2025.devpost.com/rules | https://revenuecat-shipaton-2026.devpost.com/rules | https://www.shipaton.com/categories/revenuecat-peace-prize","High"
"2025","Best Vibes","1 Integration and Application of an eligible vibe-coding partner; 2 Creativity","No direct 2026 equivalent","Not comparable","Creative use of tools can still support execution in any category.","The sponsor-gated Best Vibes award disappeared; AI-assisted development alone is not a 2026 award family.","https://revenuecat-shipaton-2025.devpost.com/rules | https://revenuecat-shipaton-2026.devpost.com/rules","High"
"2025","OneSignal Boost","1 Integration; 2 Impact; 3 Creativity using OneSignal","Keep Them Coming Back","Partially comparable","Lifecycle messaging, re-engagement, clean implementation, user value, and creative use of sponsor capabilities persist.","The 2026 category is framed around retention and return behavior and may use different sponsor tooling or evidence requirements; it should not be treated as identical from its title alone.","https://revenuecat-shipaton-2025.devpost.com/rules | https://revenuecat-shipaton-2026.devpost.com/rules | https://www.shipaton.com/categories/keep-them-coming-back","High"
"2025","Kotlin Multiplatform Reach","1 Quality across iOS and Android; 2 Community","Ship Kotlin Everywhere","Partially comparable","Kotlin or Compose Multiplatform, dual-platform quality, and community learning remain central.","The 2026 award explicitly expects qualifying store releases and can recognize a useful open-source or community contribution; wording and sponsor requirements are not identical.","https://revenuecat-shipaton-2025.devpost.com/rules | https://revenuecat-shipaton-2026.devpost.com/rules | https://www.shipaton.com/categories/ship-kotlin-everywhere","High"
"2025","Staff and Sponsor","1 App Concept; 2 Execution; 3 Monetization; only RevenueCat or sponsor-company employees","Conflict of Interest Award","Partially comparable","A separate lane for otherwise conflicted RevenueCat, sponsor, or judge-affiliated entrants persists.","The 2026 name and eligibility framing change, and the applicable standard category criteria may govern rather than the 2025 three-part rubric.","https://revenuecat-shipaton-2025.devpost.com/rules | https://revenuecat-shipaton-2026.devpost.com/rules | https://www.shipaton.com/categories/conflict-of-interest-award","Medium-high"
"none","No historical dedicated game award in the 2024 or 2025 winner set","none","Best Game Award","Not comparable","Games could previously win general or staff awards.","2026 adds a dedicated game rubric for fun, unique gameplay or progression or replayability, and monetization.","https://revenuecat-shipaton-2026.devpost.com/rules | https://www.shipaton.com/categories/best-game-award","High"
"none","No historical counterpart","none","Catvertising Award","Not comparable","Memorable creative promotion appeared in Buzziest Launch.","2026 makes a cat-themed advertising or creative requirement a distinct award; it is not the same as virality.","https://revenuecat-shipaton-2026.devpost.com/rules | https://www.shipaton.com/categories/catvertising-award","High"
"none","No historical counterpart","none","Next Gen Award","Not comparable","Student builders were previously eligible for general awards.","2026 creates a student-specific lane with its own eligibility and proof requirements.","https://revenuecat-shipaton-2026.devpost.com/rules | https://www.shipaton.com/categories/next-gen-award","High"
"none","No historical counterpart","none","Influencer Awards","Not comparable","Storytelling and distribution existed in BuildInPublic and Buzziest Launch.","2026 influencer categories require written permission for identity, brand, likeness, image, or voice and permit entry into no more than one Influencer Award.","https://revenuecat-shipaton-2026.devpost.com/rules","High"
"none","No historical counterpart","none","Make Some Noise Award","Not comparable","Audio could contribute to design or product experience in prior years.","2026 creates a dedicated sound or audio experience lane; historical winners do not provide a directly scored comparison.","https://revenuecat-shipaton-2026.devpost.com/rules | https://www.shipaton.com/categories/make-some-noise-award","High"
"none","No historical counterpart","none","Galaxy Award","Not comparable","Cross-platform quality and store presentation appeared in prior general and KMP criteria.","2026 applies the standard applicable Shipaton criteria for 80 percent and Galaxy optimization for 20 percent, including Samsung-specific capabilities and Galaxy Store quality.","https://revenuecat-shipaton-2026.devpost.com/rules | builder clarification dated 2026-08-08","High"
"none","No historical counterpart","none","Replit, Layers, and Stripe sponsor awards","Not comparable","Useful sponsor integration was recognized by 2025 OneSignal and KMP awards.","Each 2026 sponsor award has different required tooling, user value, and proof. Similar sponsor status does not make their criteria historically equivalent.","https://revenuecat-shipaton-2026.devpost.com/rules | https://revenuecat-shipaton-2026.devpost.com/","High"
