event,trigger,required_properties,forbidden_properties,metric_or_panel,hypothesis,decision
recovery_intent_started,"User invokes voice text Share widget or in-app recovery","entry_surface; platform; app_version; experiment_ids","audio; transcript; free_text; source_content",Value funnel,"Entry is reachable in the triggering situation","Compare entry surfaces and remove friction"
microphone_permission_prompted,"Just-in-time microphone request is shown","entry_surface; prior_soft_prompt; platform","audio; transcript; free_text",Permission funnel,"The user understands why capture needs microphone access","Revise rationale or preserve non-voice route"
microphone_permission_result,"System permission resolves","result; entry_surface; platform","audio; transcript; free_text",Permission funnel,"Voice remains viable without trapping denials","Improve fallback and settings recovery"
thread_recording_started,"Recorder confirms active capture","entry_surface; platform; device_class","audio; transcript; free_text",Value funnel,"Capture feedback is immediate and trustworthy","Fix start latency or feedback"
thread_local_saved,"Durable local object and audio metadata commit","entry_surface; duration_bucket; offline; platform","audio; file_path; transcript; free_text",Activation and reliability,"Users do not lose thought state before cloud work","Fix durability before AI"
thread_save_failed,"Durable local commit fails","error_class; storage_state; platform","audio; file_path; transcript; free_text",Reliability,"Failure is recoverable and explained","Fix storage recovery and copy"
cloud_consent_viewed,"Cloud processing explanation is displayed when required","platform; consent_version","audio; transcript; free_text",Privacy funnel,"Users can make an informed processing choice","Revise consent or keep deterministic path"
cloud_consent_result,"User accepts or declines cloud processing","result; consent_version; platform","audio; transcript; free_text",Privacy funnel,"Cloud value is optional and understood","Improve disclosure or local alternative"
transcription_requested,"Durable thread is queued for transcription","provider; model; duration_bucket; retry_number","audio; transcript; free_text",Reliability and cost,"Backend request starts only from durable content","Fix queue and idempotency"
transcription_completed,"Transcript is durably attached to thread","provider; model; latency_bucket; billed_duration; estimated_cost_usd","transcript; audio; free_text",Reliability and cost,"Bounded transcription is fast and affordable","Choose model or adjust queue"
transcription_failed,"Transcription reaches recoverable or terminal failure","provider; error_class; retry_number; offline","transcript; audio; free_text",Reliability,"Voice Rescue preserves value after provider failure","Fix retry fallback and messaging"
